U,S
0,0.1,(0.7454412685560797+2.166135838293351e-18j)
1,0.11034482758620691,(0.7444476638448273+3.995092172298863e-17j)
2,0.1206896551724138,(0.7432855221566927+5.727563544418432e-17j)
3,0.1310344827586207,(0.741914552022253+7.717841982346632e-18j)
4,0.1413793103448276,(0.7402870542168662-2.1521607269346534e-17j)
5,0.1517241379310345,(0.7383555756534088+9.526280191640871e-17j)
6,0.1620689655172414,(0.7360843443983084+6.510176059398573e-17j)
7,0.1724137931034483,(0.7329202715332146+1.8432329149642354e-16j)
8,0.1827586206896552,(1.4353505106165905-5.790768592041688e-29j)
9,0.1931034482758621,(1.4341527009377724+0j)
10,0.20344827586206898,(1.4321339397240316-4.7440613595221793e-29j)
11,0.2137931034482759,(1.4282457502074024-5.74501753432619e-29j)
12,0.2241379310344828,(1.4215358809946967-1.7192763443239233e-28j)
13,0.23448275862068968,(1.4113808974852606-1.5402549288060865e-28j)
14,0.24482758620689657,(1.3976333005657386-5.204558380726674e-27j)
15,0.2551724137931035,(1.3806121660133912-4.8335691212081064e-29j)
16,0.2655172413793104,(1.360961543955228-8.356142609784979e-28j)
17,0.27586206896551724,(1.3394629491119876+0j)
18,0.28620689655172415,(1.3168797436819697-5.249270527595167e-27j)
19,0.29655172413793107,(1.2938654907736902-1.3547677879311286e-26j)
20,0.306896551724138,(1.270930292654431-7.513248343393686e-26j)
21,0.3172413793103449,(1.2484442466292773-1.7425378234516788e-26j)
22,0.32758620689655177,(1.2266584471032935+0j)
23,0.33793103448275863,(1.205730756530174-2.723019187427793e-25j)
24,0.34827586206896555,(1.1857498394657457-8.181541074717018e-25j)
25,0.35862068965517246,(1.1667550070790926-2.7503331198732013e-24j)
26,0.3689655172413794,(1.148751532304435+0j)
27,0.3793103448275863,(1.1317219865520216-9.151678617321098e-24j)
28,0.3896551724137931,(1.115634400465809-1.1886611687176108e-24j)
29,0.4,(1.1004480195623936-3.592709235444881e-26j)
