,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756538422126,0.005934825823382894,0.028490047298532772,8,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07735400676499177
2,2,-15.570935195648829,0.004178657226702853,0.02431139007182992,15,26.0,66,12,20,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.048241541278005826
3,3,-15.575216168973842,0.004280973325013093,0.020030416746816826,24,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.048251459703298374
4,4,-15.579277206326044,0.004061037352201424,0.0159693793946154,30,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.057800875982374
5,5,-15.582317515480662,0.0030403091546187255,0.012929070239996676,36,65.0,165,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04043191384582363
6,6,-15.584935686303695,0.002618170823032173,0.010310899416964503,28,78.0,198,33,33,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05415870359631137
7,7,-15.587452938226814,0.002517251923119801,0.007793647493844702,48,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.042223897512260515
8,8,-15.590201140817248,0.002748202590433735,0.005045444903410967,54,104.0,264,44,44,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04220901842407681
9,9,-15.592603221394208,0.0024020805769602305,0.0026433643264507367,40,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.054571879648209067
10,10,-15.594260884561871,0.001657663167662804,0.0009857011587879327,66,130.0,330,66,66,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.028009529745872605
11,11,-15.594330761398783,6.987683691228597e-05,0.0009158243218756468,60,133.0,337,69,70,s_q_exc_2_10,"[2, 10]",0.01089061919363999
12,12,-15.594399974383167,6.921298438378187e-05,0.0008466113374918649,65,136.0,344,69,70,s_q_exc_3_11,"[3, 11]",-0.01096394663602294
13,13,-15.594453298554118,5.332417095083031e-05,0.0007932871665410346,56,149.0,377,69,77,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006390149090790573
14,14,-15.594510651107832,5.735255371419612e-05,0.0007359346128268385,60,162.0,410,80,81,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.006389999962901806
15,15,-15.594554031875559,4.3380767726475256e-05,0.0006925538451003632,64,175.0,443,86,91,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0031851177451466765
16,16,-15.594596917872119,4.2885996560215744e-05,0.0006496678485401475,68,188.0,476,92,101,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031853700456535472
17,17,-15.594638835803122,4.1917931003609965e-05,0.0006077499175365375,72,201.0,509,92,101,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003047791755771963
18,18,-15.594680305829726,4.1470026603818155e-05,0.0005662798909327194,76,214.0,542,92,101,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.003048089483113123
19,19,-15.59472030208555,3.999625582373767e-05,0.0005262836351089817,340,227.0,575,92,101,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0019067893042168484
20,20,-15.594756034218312,3.573213276197862e-05,0.0004905515023470031,84,240.0,608,92,101,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.00182909743012556
21,21,-15.594779416530544,2.3382312232200775e-05,0.0004671691901148023,88,253.0,641,92,101,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0015796759559185524
22,22,-15.594802567131943,2.3150601398569393e-05,0.0004440185887162329,92,266.0,674,92,101,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0015792614074358166
23,23,-15.5948164971672,1.3930035256848328e-05,0.00043008855345938457,120,269.0,681,92,101,s_q_exc_4_12,"[4, 12]",-0.003774451735401197
24,24,-15.594830327040581,1.3829873381610014e-05,0.00041625868007777456,150,272.0,688,92,101,s_q_exc_5_13,"[5, 13]",0.0036655370272421287
25,25,-15.594840148796303,9.821755721617365e-06,0.0004064369243561572,104,285.0,721,92,107,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.0012367759668034223
26,26,-15.59484981470312,9.665906816280767e-06,0.0003967710175398764,459,298.0,754,98,111,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.001330158318525358
27,27,-15.594853197454523,3.382751403435691e-06,0.00039338826613644073,112,311.0,787,98,111,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.002258990869250969
28,28,-15.594856459827493,3.2623729708802784e-06,0.00039012589316556046,116,324.0,820,104,121,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0007359582290882749
29,29,-15.594859428128526,2.968301032524323e-06,0.00038715759213303613,120,337.0,853,104,121,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0008340814528032656
30,30,-15.594860663541214,1.2354126877056615e-06,0.00038592217944533047,93,350.0,886,104,121,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0005508901432671536
