,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415844,0.005934828817093063,0.02849004430482971,204,6.0,9,4,3,1j [Y4 Y5 Y10 X11],[],-0.07970770722464103
2,2,-15.570917364460866,0.0041608230450229655,0.024329221259806744,38,12.0,18,6,5,1j [Y3 Y4 Y11 X12],[],-0.04931456036849929
3,3,-15.575204213396162,0.0042868489352958505,0.020042372324510893,87,18.0,27,8,5,1j [Y2 Y5 Y10 X13],[],-0.08862913075348638
4,4,-15.578025861956924,0.0028216485607615027,0.01722072376374939,456,24.0,36,12,6,1j [Y4 X5 Y12 Y13],[],0.02837196178305697
5,5,-15.582218190910188,0.004192328953264379,0.013028394810485011,261,30.0,45,12,8,1j [Y2 Y3 X10 Y11],[],-0.05360907291484368
6,6,-15.58474180866215,0.0025236177519616376,0.010504777058523374,274,36.0,54,16,9,1j [Y3 Y4 X10 Y13],[],0.03223289819025443
7,7,-15.587540300710135,0.0027984920479848796,0.007706285010538494,922,42.0,63,16,10,1j [Y2 X5 Y11 Y12],[],-0.014534168643303107
8,8,-15.589270925053773,0.001730624343638354,0.00597566066690014,702,48.0,72,16,12,1j [Y2 Y3 X12 Y13],[],-0.01891225566191726
9,9,-15.591675649530211,0.002404724476438247,0.003570936190461893,365,54.0,81,16,12,1j [Y2 X3 Y6 Y7],[],-0.01791206811678437
10,10,-15.59393299353735,0.0022573440071393946,0.0013135921833224984,290,60.0,90,20,12,1j [X2 Y3 Y8 Y9],[],0.02519613799714684
11,11,-15.593974705403662,4.171186631118928e-05,0.001271880317011309,249,66.0,99,20,13,1j [Y0 Y1 Y10 X11],[],2.4163621620204704e-05
12,12,-15.594010299869561,3.559446589918025e-05,0.0012362858511121289,478,72.0,108,20,15,1j [Y0 Y1 Y12 X13],[],0.00011076380282803792
13,13,-15.594030806591329,2.0506721767787894e-05,0.001215779129344341,452,78.0,117,20,15,1j [Y0 X1 Y6 Y7],[],0.001526251908910484
14,14,-15.594051142611422,2.0336020092770468e-05,0.0011954431092515705,1883,84.0,126,20,15,1j [X0 Y1 Y8 Y9],[],0.0015193577877342969
15,15,-15.594095291853671,4.4149242249602594e-05,0.001151293867001968,682,90.0,135,20,15,1j [Y1 Y2 Y6 X7],[],-0.0010282899472729462
16,16,-15.594139232267992,4.394041432043139e-05,0.0011073534526815365,650,96.0,144,20,16,1j [X1 X2 Y8 X9],[],0.00193117390069972
17,17,-15.59418174923223,4.251696423906992e-05,0.0010648364884424666,686,102.0,153,24,16,1j [X0 X3 Y8 X9],[],0.0009141034710929721
18,18,-15.594224062734892,4.23135026608179e-05,0.0010225229857816487,762,108.0,162,28,16,1j [Y0 Y3 Y6 X7],[],0.0008562068002765817
19,19,-15.59427286913162,4.880639672855125e-05,0.0009737165890530974,548,114.0,171,28,18,1j [Y2 Y4 X11 Y13],[],-0.011377031639546882
20,20,-15.594281745839652,8.876708031735348e-06,0.0009648398810213621,574,120.0,180,32,21,1j [X0 X3 Y12 X13],[],-0.0006517258960570812
21,21,-15.59429056384548,8.81800582774872e-06,0.0009560218751936134,692,126.0,189,32,24,1j [X1 X2 Y12 X13],[],0.00016357880355262545
22,22,-15.594356779707407,6.62158619277875e-05,0.0008898060132658259,986,128.0,194,32,24,1j [Y2 X10],1j [Y2 X10],-0.014199504132173774
23,23,-15.594421690720525,6.49110131174524e-05,0.0008248950001483735,1152,130.0,199,34,24,1j [Y3 X11],1j [Y3 X11],0.7598965562684051
24,24,-15.594439688559875,1.7997839350414324e-05,0.0008068971607979591,1432,136.0,208,34,24,1j [Y2 X4 Y10 Y12],[],-0.0030988826088505397
25,25,-15.594451879139728,1.219057985224481e-05,0.0007947065809457143,839,142.0,217,36,27,1j [Y3 X5 X11 X13],[],0.13677652090407058
26,26,-15.594455033435755,3.154296027929604e-06,0.0007915522849177847,954,148.0,226,40,27,1j [Y0 X3 X10 X11],[],0.0004522755356163654
27,27,-15.594458143874151,3.110438395736992e-06,0.0007884418465220477,1104,154.0,235,40,27,1j [Y1 X2 Y10 Y11],[],0.00035198746660964345
28,28,-15.594473341188245,1.5197314093384762e-05,0.000773244532428663,1082,156.0,240,40,27,1j [X4 Y12],1j [X4 Y12],-0.01222327096163977
29,29,-15.594487226020966,1.3884832721799967e-05,0.000759359699706863,1645,158.0,245,40,30,1j [X5 Y13],1j [X5 Y13],0.6421988126805614
30,30,-15.594588686881977,0.00010146086101059382,0.0006578988386962692,1474,164.0,254,44,30,1j [X2 X3 Y6 X7],[],0.026730435607084525
