,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756540187896,0.0059348275891455415,0.02849004553268486,35,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07736116806721183
2,2,-15.57093519563845,0.004178655450553848,0.024311390082131012,16,34.0,68,15,20,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.04803534636686363
3,3,-15.575216157381657,0.0042809617432073566,0.020030428338923656,25,47.0,101,21,21,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04802157164538145
4,4,-15.578093022072675,0.0028768646910179996,0.017153563647905656,36,60.0,134,32,32,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.0403778683324869
5,5,-15.582317508753437,0.004224486680762141,0.012929076967143516,37,73.0,167,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.057900018538978935
6,6,-15.58486727902808,0.0025497702746424267,0.010379306692501089,43,90.0,202,38,42,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04223747895287639
7,7,-15.587653168023413,0.0027858889953336075,0.007593417697167482,49,107.0,237,42,44,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042263025790393115
8,8,-15.589389143321727,0.0017359752983132637,0.005857442398854218,55,120.0,270,48,44,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.027832349718494846
9,9,-15.591896201417557,0.0025070580958299615,0.0033503843030242564,61,133.0,303,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.05454835570310648
10,10,-15.59426130672315,0.002365105305592863,0.0009852789974313936,67,146.0,336,70,66,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.054643162369826644
11,11,-15.59430327872096,4.197199780975325e-05,0.0009433069996216403,205,159.0,369,70,66,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0018028163535877223
12,12,-15.59433894950348,3.5670782521535216e-05,0.0009076362171001051,222,172.0,402,70,66,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0016277421690614345
13,13,-15.594359396578561,2.044707508019883e-05,0.0008871891420199063,239,185.0,435,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0014826884655550776
14,14,-15.594379664160886,2.0267582325317335e-05,0.000866921559694589,256,198.0,468,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0014824801307725796
15,15,-15.594423727112924,4.406295203729371e-05,0.0008228586076572952,81,215.0,503,74,72,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.0031844834880343864
16,16,-15.594467767425392,4.404031246885154e-05,0.0007788182951884437,86,228.0,536,80,78,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0030826256694244315
17,17,-15.59451092424901,4.3156823616996576e-05,0.0007356614715714471,91,241.0,569,86,88,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0030836661634493965
18,18,-15.594554061097458,4.313684844881038e-05,0.0006925246231226367,96,258.0,604,90,90,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.0031835673253794877
19,19,-15.594601966236016,4.7905138558235194e-05,0.0006446194845644015,81,275.0,639,103,101,"eff_d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.006342129463754314
20,20,-15.594653754184913,5.1787948896375724e-05,0.0005928315356680258,106,292.0,674,103,101,"eff_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006347836027765169
21,21,-15.594663034588296,9.280403382661007e-06,0.0005835511322853648,89,305.0,707,109,111,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0012343185360226814
