,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435879,0.013985934751604923,0.005642225310023008,166,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11034783976770193
2,2,-7.878915001650083,0.0017953782142035024,0.0038468470958195056,336,26.0,66,22,22,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.057011835183858425
3,3,-7.880581566202956,0.0016665645528730622,0.0021802825429464434,541,39.0,99,33,33,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.05729701982783496
4,4,-7.8811642946357825,0.0005827284328265847,0.0015975541101198587,181,52.0,132,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.027948717069217418
5,5,-7.881719776104165,0.0005554814683828013,0.0010420726417370574,576,65.0,165,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028018915199985995
6,6,-7.882133592810269,0.0004138167061036313,0.0006282559356334261,193,78.0,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.792116838424785
7,7,-7.882337609896891,0.00020401708662198814,0.00042423884901143794,623,81.0,205,69,70,s_q_exc_2_4,"[2, 4]",0.05311095200527466
8,8,-7.882531360881079,0.00019375098418805692,0.00023048786482338102,1142,94.0,238,80,81,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.8249915073414821
9,9,-7.88260832766804,7.696678696067494e-05,0.00015352107786270608,496,107.0,271,80,81,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003792600717641441
10,10,-7.882630013981903,2.1686313863789053e-05,0.00013183476399891703,937,120.0,304,86,91,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0033298564385833354
11,11,-7.882651591055079,2.1577073175294004e-05,0.00011025769082362302,1704,133.0,337,86,91,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003127164394692497
12,12,-7.8826727410946456,2.11500395668196e-05,8.910765125680342e-05,1345,146.0,370,92,101,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003360362647718033
13,13,-7.882693783143521,2.104204887576344e-05,6.806560238103998e-05,421,159.0,403,92,101,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0031283547659451886
14,14,-7.8827118816953705,1.8098551849199396e-05,4.9967050531840584e-05,2268,172.0,436,92,101,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.49305663768143015
15,15,-7.882729844203441,1.796250807029054e-05,3.2004542461550045e-05,1242,185.0,469,92,101,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.6457476974931956
16,16,-7.882735502826124,5.658622683313297e-06,2.6345919778236748e-05,2731,198.0,502,92,101,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0013557294726054157
17,17,-7.882741160525626,5.657699501782076e-06,2.0688220276454672e-05,1483,201.0,509,95,105,s_q_exc_2_10,"[2, 10]",0.5275957467797429
18,18,-7.882743467985938,2.3074603117123615e-06,1.838075996474231e-05,2452,214.0,542,95,105,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.00157305787414516
19,19,-7.8827457789094915,2.310923553849875e-06,1.6069836410892435e-05,1776,227.0,575,101,115,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.001291912662497198
20,20,-7.882747585480334,1.8065708422554394e-06,1.4263265568636996e-05,3028,240.0,608,101,115,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0013931646419906394
21,21,-7.8827493788321465,1.7933518128288028e-06,1.2469913755808193e-05,2128,253.0,641,107,125,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0015169027265024776
22,22,-7.88275022355362,8.447214732143493e-07,1.1625192282593844e-05,1105,256.0,648,107,125,s_q_exc_1_11,"[1, 11]",0.007603622825177626
23,23,-7.882750935822035,7.122684149152292e-07,1.0912923867678614e-05,1961,259.0,655,107,125,s_q_exc_0_10,"[0, 10]",-0.0009337081244143842
24,24,-7.882751251200602,3.1537856770569306e-07,1.0597545299972921e-05,2757,272.0,688,113,135,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.015753585493097858
25,25,-7.882751525001189,2.738005866476101e-07,1.0323744713325311e-05,2064,285.0,721,113,135,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0005214722731267284
26,26,-7.882752030573576,5.055723866220774e-07,9.818172326703234e-06,6301,288.0,728,116,139,s_q_exc_2_10,"[2, 10]",-0.5310647521918509
27,27,-7.882753231076149,1.2005025729067142e-06,8.61766975379652e-06,6956,301.0,761,122,149,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.011329915408385342
28,28,-7.882755309661929,2.0785857808292008e-06,6.539083972967319e-06,5502,314.0,794,122,149,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.6478177203055558
29,29,-7.882757098129221,1.7884672915968736e-06,4.750616681370445e-06,5219,327.0,827,124,149,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.49488142558447396
