,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.8771196234358785,0.013985934751604034,0.005642225310038107,6,13.0,33,11,11,"spin_d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11031884287176652
2,2,-7.880581565166621,0.003461941730742879,0.002180283579295228,8,39.0,99,28,32,"spin_d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.057172427449273616
3,3,-7.880668707338959,8.714217233762866e-05,0.0020931414069575993,11,52.0,132,28,32,"spin_d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003977775833807454
4,4,-7.881251449024694,0.000582741685734689,0.0015103997212229103,14,65.0,165,39,43,"spin_d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028011143212794885
5,5,-7.881806942965784,0.0005554939410901127,0.0009549057801327976,15,78.0,198,50,54,"spin_d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028022033064944316
6,6,-7.882217914401911,0.0004109714361275607,0.0005439343440052369,87,91.0,231,61,65,"spin_d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0313681494705364
7,7,-7.8822572006538305,3.928625191917945e-05,0.0005046480920860574,58,117.0,297,67,75,"spin_d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003486000319851142
8,8,-7.88229591591082,3.871525698961875e-05,0.0004659328350964387,89,143.0,363,73,85,"spin_d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.003486365000371169
9,9,-7.88268165278903,0.00038573687820964153,8.019595688679715e-05,66,149.0,377,76,89,spin_s_q_exc_5_3,"[3, 5]",0.038751235983086725
10,10,-7.882699810028147,1.8157239117577717e-05,6.203871776921943e-05,20,162.0,410,76,89,"spin_d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0019303926318852077
11,11,-7.882717832167552,1.8022139404827442e-05,4.401657836439199e-05,115,175.0,443,76,89,"spin_d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0019300613093416255
12,12,-7.882723604900293,5.772732740716435e-06,3.8243845623675554e-05,76,188.0,476,76,89,"spin_d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0014274109274420893
13,13,-7.882728054743687,4.449843394205288e-06,3.3794002229470266e-05,72,214.0,542,82,99,"spin_d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009559170328136407
14,14,-7.88273155594761,3.501203923228502e-06,3.0292798306241764e-05,94,240.0,608,88,109,"spin_d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008215273746996271
15,15,-7.882745777588967,1.4221641357003989e-05,1.6071156949237775e-05,120,246.0,622,91,113,spin_s_q_exc_11_3,"[3, 11]",-0.0037905844952878165
16,16,-7.882747316525208,1.538936240663702e-06,1.4532220708574073e-05,82,252.0,636,91,113,spin_s_q_exc_11_1,"[1, 11]",-0.0005214805607324342
17,17,-7.882751000137619,3.683612410654291e-06,1.0848608297919782e-05,26,258.0,650,94,117,spin_s_q_exc_11_3,"[3, 11]",0.002034199804443866
18,18,-7.882751587295173,5.871575545768337e-07,1.0261450743342948e-05,73,284.0,716,102,127,"spin_d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0003059939796776778
19,19,-7.882751686576991,9.928181743390496e-08,1.0162168925909043e-05,41,310.0,782,119,127,"spin_d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",0.00031216708553951896
20,20,-7.882751956818134,2.702411432409235e-07,9.89192778266812e-06,90,316.0,796,122,128,spin_s_q_exc_5_1,"[1, 5]",-0.0002978150212900366
21,21,-7.882752170157643,2.1333950872559626e-07,9.678588273942523e-06,88,342.0,862,133,139,"spin_d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0052994046716161106
22,22,-7.8827522463897814,7.623213882368418e-08,9.602356135118839e-06,70,368.0,928,144,150,"spin_d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.001063608077417128
23,23,-7.8827548967036885,2.6503139070044313e-06,6.952042228114408e-06,180,394.0,994,155,161,"spin_d_q_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0027416967504046057
24,24,-7.882757522694768,2.6259910796966324e-06,4.3260511484177755e-06,64,420.0,1060,166,172,"spin_d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0027414000629804106
25,25,-7.882757601543557,7.884878883146484e-08,4.247202359586311e-06,116,446.0,1126,166,172,"spin_d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.00019249342121852446
26,26,-7.8827576151966126,1.3653055574991413e-08,4.233549304011319e-06,99,452.0,1140,169,176,spin_s_q_exc_5_1,"[1, 5]",3.2271713767077435e-05
27,27,-7.88275824773788,6.325412673646724e-07,3.601008036646647e-06,108,478.0,1206,180,187,"spin_d_q_exc_[1, 10]_[5, 4]","[[1, 10], [5, 4]]",-0.003003513790857894
28,28,-7.882759521770646,1.2740327663962603e-06,2.3269752702503865e-06,112,504.0,1272,191,198,"spin_d_q_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.008901582993948597
29,29,-7.882760779143612,1.2573729657461286e-06,1.069602304504258e-06,101,530.0,1338,202,209,"spin_d_q_exc_[1, 4]_[8, 9]","[[1, 4], [8, 9]]",-0.008903337625938538
30,30,-7.882761290948178,5.118045658392134e-07,5.577977386650446e-07,108,556.0,1404,213,220,"spin_d_q_exc_[1, 4]_[5, 10]","[[1, 4], [5, 10]]",0.005780448881133955
31,31,-7.88276147002817,1.7907999172450673e-07,3.7871774694053784e-07,81,582.0,1470,224,231,"spin_d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",0.0003139033788367649
32,32,-7.882761525835145,5.580697504115051e-08,3.2291077189938733e-07,63,608.0,1536,241,252,"spin_d_q_exc_[0, 1]_[3, 4]","[[0, 1], [3, 4]]",0.0006617803587822858
33,33,-7.882761526422279,5.871338970564466e-10,3.223236380023309e-07,90,634.0,1602,252,263,"spin_d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-7.079921479107429e-05
34,34,-7.882761536578109,1.0155830842961677e-08,3.121678071593692e-07,108,640.0,1616,252,263,spin_s_q_exc_5_3,"[3, 5]",0.00022140202800501762
35,35,-7.882761537269446,6.913367656125047e-10,3.114764703937567e-07,61,666.0,1682,263,274,"spin_d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-7.086999405858175e-05
36,36,-7.882761564491033,2.7221586762493644e-08,2.8425488363126306e-07,93,692.0,1748,274,285,"spin_d_q_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",0.0011373478083029724
