,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962050712,0.013985931822851,0.005642228238785,9,13,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11031976
2,2,-7.87891497444371,0.001795353936589,0.003846874302196,13,26,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057233665
3,3,-7.88058153961048,0.001666565166777,0.00218030913542,17,39,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.0570689164
4,4,-7.88066868952789,8.7149917410656E-05,0.002093159218009,51,52,132,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00257996027
5,5,-7.88125138313766,0.00058269360977,0.001510465608239,37,65,165,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.028710864
6,6,-7.88180683497948,0.000555451841817,0.000955013766422,36,78,198,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.0287001945
7,7,-7.88221771704515,0.000410882065665,0.000544131700758,49,91,231,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.0313974735
8,8,-7.88223379229363,1.6075248487013E-05,0.00052805645227,37,104,264,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00177886192
9,9,-7.88224973528377,1.5942990139628E-05,0.000512113462131,41,117,297,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.00175322527
10,10,-7.88227050322931,2.07679455401788E-05,0.000491345516591,56,130,330,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031369682
11,11,-7.8822912363651,2.07331357886531E-05,0.000470612380802,61,143,363,72,76,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.299756861
12,12,-7.88231149219878,2.02558336805936E-05,0.000450356547121,66,156,396,72,80,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.189774672
13,13,-7.88233172643274,2.02342339630235E-05,0.000430122313158,71,169,429,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.00328191935
14,14,-7.88233751359653,5.78716378196731E-06,0.000424335149376,61,182,462,78,86,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00103536814
15,15,-7.88254127145593,0.000203757859404,0.000220577289973,129,185,469,81,90,s_q_exc_2_4,"[2, 4]",0.0375736919
16,16,-7.88272418592176,0.000182914465832,3.76628241411936E-05,120,188,476,81,90,s_q_exc_3_5,"[3, 5]",-0.0307062671
