,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119620507117,0.013985931822850795,0.00564222823878513,9,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11038345386545348
2,2,-7.878914974443706,0.001795353936588917,0.0038468743021962126,13,26.0,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.05730048814660728
3,3,-7.880581539610483,0.0016665651667766568,0.002180309135419556,17,39.0,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05671912097081005
4,4,-7.8806686895278935,8.714991741065603e-05,0.0020931592180089,51,52.0,132,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003839473410106489
5,5,-7.881251383137664,0.0005826936097701463,0.0015104656082387535,37,65.0,165,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.02802032950583309
6,6,-7.88180683497948,0.000555451841816712,0.0009550137664220415,36,78.0,198,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028031187939324468
7,7,-7.882217717045145,0.00041088206566453067,0.0005441317007575108,49,91.0,231,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.03130107026810851
8,8,-7.882233792293632,1.6075248487013027e-05,0.0005280564522704978,37,104.0,264,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00186917769155258
9,9,-7.8822497352837715,1.5942990139627966e-05,0.0005121134621308698,41,117.0,297,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018691808667023974
10,10,-7.882270503229312,2.07679455401788e-05,0.000491345516590691,56,130.0,330,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031469789597105007
11,11,-7.8822912363651,2.07331357886531e-05,0.00047061238080203793,61,143.0,363,72,76,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.003047033435313893
12,12,-7.882311492198781,2.0255833680593582e-05,0.00045035654712144435,66,156.0,396,72,80,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0030470933072381627
13,13,-7.882331726432744,2.0234233963023485e-05,0.00043012231315842087,71,169.0,429,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0031470379439191543
14,14,-7.882337513596526,5.787163781967308e-06,0.00042433514937645356,61,182.0,462,78,86,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0010610188972983662
15,15,-7.8825412714559295,0.00020375785940363045,0.0002205772899728231,129,185.0,469,81,90,s_q_exc_2_4,"[2, 4]",0.03870191373535551
16,16,-7.882724185921761,0.00018291446583162951,3.7662824141193596e-05,120,188.0,476,81,90,s_q_exc_3_5,"[3, 5]",-0.037980420507782206
17,17,-7.8827383804999265,1.419457816531633e-05,2.3468245975877267e-05,73,191.0,483,84,94,s_q_exc_2_10,"[2, 10]",-0.005602039258266144
18,18,-7.882741100197121,2.719697194564219e-06,2.0748548781313048e-05,77,204.0,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.0009095207501989516
19,19,-7.882743518083566,2.417886444838757e-06,1.833066233647429e-05,81,217.0,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.0009024898358279954
20,20,-7.882745404585041,1.8865014750346631e-06,1.6444160861439627e-05,85,230.0,582,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.0008764080733848407
21,21,-7.8827472282659965,1.823680955581608e-06,1.462047990585802e-05,89,243.0,615,96,114,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008728312882706733
22,22,-7.882747905829127,6.775631309352548e-07,1.3942916774922764e-05,70,246.0,622,96,114,s_q_exc_1_11,"[1, 11]",0.0005029397252658984
23,23,-7.882748894757479,9.889283516528735e-07,1.2953988423269891e-05,121,249.0,629,96,114,s_q_exc_0_10,"[0, 10]",-0.0005639109468611009
24,24,-7.88274917704703,2.8228955084586005e-07,1.2671698872424031e-05,76,262.0,662,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0003694552758312268
25,25,-7.8827508394263885,1.6623793586134639e-06,1.1009319513810567e-05,105,265.0,669,102,124,s_q_exc_3_11,"[3, 11]",0.0017126377123689062
26,26,-7.882751325625908,4.861995197558144e-07,1.0523119994054753e-05,82,278.0,702,102,124,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.00024717762149887435
27,27,-7.882751433864804,1.0823889606825787e-07,1.0414881097986495e-05,85,281.0,709,102,124,s_q_exc_1_5,"[1, 5]",0.0002488797527065411
28,28,-7.88275150020605,6.634124538607011e-08,1.0348539852600425e-05,88,294.0,742,113,124,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",8.883915663740998e-06
29,29,-7.882751517749243,1.754319356450651e-08,1.0330996659035918e-05,91,307.0,775,124,125,"d_q_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",4.613782033890572e-05
30,30,-7.882751604237634,8.648839067149083e-08,1.0244508268364427e-05,94,320.0,808,135,136,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.00014484233941759161
31,31,-7.882751670099954,6.586232004224257e-08,1.0178645948322185e-05,97,333.0,841,135,144,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.0002513981951434928
32,32,-7.882751733832129,6.373217509292317e-08,1.0114913773229262e-05,100,346.0,874,146,154,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",9.324473867736238e-06
33,33,-7.88275174733475,1.3502621243333124e-08,1.0101411151985928e-05,103,359.0,907,157,158,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",0.00010934376733410258
34,34,-7.882751804797105,5.7462354874360244e-08,1.0043948797111568e-05,106,372.0,940,168,169,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",6.850731433312339e-06
35,35,-7.882751824622766,1.9825661112804482e-08,1.0024123135998764e-05,109,375.0,947,171,173,s_q_exc_0_4,"[0, 4]",-0.00011233645302433415
36,36,-7.88275190548224,8.085947378333458e-08,9.943263662215429e-06,112,388.0,980,182,184,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",1.1691570215298936e-05
37,37,-7.882751911882603,6.400362906333612e-09,9.936863299309096e-06,153,401.0,1013,182,185,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-1.3492416975773612e-05
