,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962070983,0.013985932025555314,0.005642228036072616,8,6.0,9,4,3,1j [X2 X3 X10 Y11],[],0.06156573548057457
2,2,-7.878887993990215,0.0017683732803854824,0.003873854755687134,15,12.0,18,8,6,1j [X2 X3 X4 Y11],[],0.05684534209198186
3,3,-7.880525927816903,0.001637933826687643,0.002235920928999491,76,18.0,27,12,6,1j [X2 Y3 X5 X10],[],0.05623676685419488
4,4,-7.880612757742271,8.682992536801493e-05,0.002149091003631476,85,24.0,36,12,6,1j [X0 Y1 X4 X5],[],-0.003841293645302264
5,5,-7.8811772236260085,0.0005644658837375971,0.0015846251198938788,48,30.0,45,16,8,1j [X2 Y3 X4 X5],[],-0.03047603110866255
6,6,-7.881650754419667,0.0004735307936583055,0.0011110943262355732,56,36.0,54,20,10,1j [X2 X3 X6 Y7],[],0.01716359676276042
7,7,-7.8821078874671375,0.000457133047470748,0.0006539612787648252,64,42.0,63,24,12,1j [X2 Y3 X8 X9],[],-0.0106381751746016
8,8,-7.882124158700926,1.627123378877826e-05,0.000637690044976047,36,48.0,72,24,12,1j [X0 X1 X8 Y9],[],0.0017581034014112506
9,9,-7.8821400544325035,1.589573157723123e-05,0.0006217943133988157,40,54.0,81,24,12,1j [X0 Y1 X6 X7],[],-0.0018723502291151043
10,10,-7.882160564956875,2.0510524371353256e-05,0.0006012837890274625,99,60.0,90,28,14,1j [X0 X3 X6 Y7],[],-0.0031039560584654293
11,11,-7.88218104518856,2.0480231684771866e-05,0.0005808035573426906,60,66.0,99,28,14,1j [X1 X2 X8 Y9],[],0.0028803190824058093
12,12,-7.882201074504394,2.0029315834335648e-05,0.000560774241508355,65,72.0,108,28,16,1j [Y1 Y2 X6 Y7],[],-0.0030986116811765625
13,13,-7.88222111845768,2.0043953285586724e-05,0.0005407302882227683,182,78.0,117,32,16,1j [Y0 Y3 X8 Y9],[],0.0029309584466363967
14,14,-7.882226791255927,5.6727982471471705e-06,0.0005350574899756211,255,84.0,126,32,16,1j [X0 X1 X10 Y11],[],0.000270200328858823
15,15,-7.8824022351576435,0.00017544390171675417,0.0003596135882588669,272,86.0,131,32,18,1j [Y2 X4],1j [Y2 X4],-0.037876337825469626
16,16,-7.882557738680597,0.0001555035229534596,0.00020411006530540732,272,88.0,136,34,18,1j [Y3 X5],1j [Y3 X5],0.016262366607358233
17,17,-7.882602071774299,4.4333093701887094e-05,0.00015977697160352022,144,94.0,145,38,20,1j [X2 X3 X8 Y9],[],0.01706826971138346
18,18,-7.882644495742862,4.242396856302122e-05,0.000117353003040499,190,100.0,154,42,22,1j [X2 Y3 X6 X7],[],-0.010539017862930301
19,19,-7.882659369488773,1.4873745911359038e-05,0.00010247925712913997,340,102.0,159,42,24,1j [Y2 X10],1j [Y2 X10],0.005187112430791275
20,20,-7.882661755675353,2.3861865798835424e-06,0.00010009307054925642,105,108.0,168,46,24,1j [X0 X3 X5 Y10],[],-0.0009698475425139861
21,21,-7.882664083163285,2.327487932163308e-06,9.776558261709312e-05,88,114.0,177,46,26,1j [X1 X2 X4 Y11],[],-0.000963704198211623
22,22,-7.882665820223468,1.7370601828048393e-06,9.602852243428828e-05,115,120.0,186,46,28,1j [Y0 Y2 Y4 X10],[],-0.0008706359435888821
23,23,-7.882667578789034,1.7585655660568023e-06,9.426995686823147e-05,96,126.0,195,50,28,1j [Y1 Y3 Y5 X11],[],-0.0008619678288747657
24,24,-7.882691752799074,2.4174010039956784e-05,7.009594682827469e-05,450,128.0,200,52,28,1j [X3 Y5],1j [X3 Y5],-0.021144644185637114
25,25,-7.882692773031828,1.0202327542785383e-06,6.907571407399615e-05,104,130.0,205,52,28,1j [X1 Y11],1j [X1 Y11],0.00045543451310457397
26,26,-7.8826933063121745,5.332803461044477e-07,6.85424337278917e-05,81,132.0,210,52,28,1j [X0 Y10],1j [X0 Y10],-0.0005203914214604733
27,27,-7.882726245446942,3.2939134767318023e-05,3.560329896057368e-05,588,138.0,219,56,30,1j [X2 Y3 Y10 Y11],[],0.049055603195539615
28,28,-7.882728019945437,1.7744984948109277e-06,3.3828800465762754e-05,116,140.0,224,58,32,1j [X3 Y11],1j [X3 Y11],0.0013647694153479427
29,29,-7.88272829033669,2.703912533874586e-07,3.3558409212375295e-05,90,146.0,233,58,32,1j [Y0 Y1 Y10 X11],[],-0.0007115872895273087
30,30,-7.882728690856548,4.005198581680247e-07,3.315788935420727e-05,93,152.0,242,58,32,1j [X1 Y2 X10 X11],[],-0.00034025178596584077
31,31,-7.882728883744504,1.9288795627403488e-07,3.2965001397933236e-05,96,158.0,251,58,33,1j [Y0 Y1 Y10 X11],[],-0.0005767947078664258
32,32,-7.882729156317509,2.7257300416749786e-07,3.269242839376574e-05,99,164.0,260,58,36,1j [X0 X1 Y4 X11],[],3.45252153696732e-05
