,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415847,0.005934828817098392,0.028490044304666284,6,48.0,72,32,24,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.0022195702195463595
2,2,-15.57093520347371,0.004178662057862326,0.02431138224680396,78,96.0,144,48,40,"d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04817128234049997
3,3,-15.575216182049296,0.004280978575586403,0.020030403671217556,10,208.0,216,80,40,"d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.0481245918347234
4,4,-15.578093027055328,0.002876845006031914,0.017153558665185642,10,256.0,288,96,48,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.8017836316966873
5,5,-15.58231753577319,0.004224508717861397,0.012929049947324245,11,304.0,360,96,64,"d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.03742747730959934
6,6,-15.58486733722367,0.002549801450481226,0.010379248496843019,206,384.0,432,128,72,"d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.058191192404071314
7,7,-15.587653234867222,0.002785897643551749,0.00759335085329127,20,464.0,504,160,80,"d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.058254978456010756
8,8,-15.589389210918565,0.0017359760513429023,0.005857374801948367,60,512.0,576,160,96,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.014281656036006783
9,9,-15.591896270201318,0.0025070592827525218,0.0033503155191958456,21,560.0,648,192,96,"d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.021964654103853294
10,10,-15.594261365359406,0.0023650951580886925,0.000985220361107153,20,608.0,720,224,96,"d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.02193483619392636
11,11,-15.59430334008223,4.197472282463366e-05,0.0009432456382825194,68,656.0,792,224,104,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0004037070838902788
12,12,-15.59433901252806,3.5672445829249e-05,0.0009075731924532704,97,704.0,864,224,120,"d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.002498919044253619
13,13,-15.59435949416084,2.0481632779123515e-05,0.0008870915596741469,89,752.0,936,224,120,"d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.006960708118870549
14,14,-15.5943797752847,2.028112386120995e-05,0.0008668104358129369,113,800.0,1008,224,120,"d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00693370342197034
15,15,-15.594423864252102,4.408896740137891e-05,0.000822721468411558,129,848.0,1080,224,120,"d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.001167099747979565
16,16,-15.594467922507285,4.4058255182832795e-05,0.0007786632132287252,87,928.0,1152,256,120,"d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-5.170093907005073e-05
17,17,-15.594511093841001,4.317133371678494e-05,0.0007354918795119403,84,1008.0,1224,288,128,"d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-4.534116478979731e-05
18,18,-15.59455424148723,4.314764622925793e-05,0.0006923442332826824,56,1056.0,1296,288,128,"d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0011659409315668192
19,19,-15.594602513387095,4.827189986400526e-05,0.0006440723334186771,88,1136.0,1368,320,144,"d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.009081473316953902
20,20,-15.594654407283322,5.189389622728413e-05,0.000592178437191393,32,1216.0,1440,336,144,"d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.00882111893563946
21,21,-15.594663390360513,8.983077190549693e-06,0.0005831953600008433,51,1296.0,1512,368,168,"d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.002605138908420397
22,22,-15.594672300841527,8.910481014368088e-06,0.0005742848789864752,20,1344.0,1584,368,192,"d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.023450179057700467
23,23,-15.594755899671172,8.359882964548149e-05,0.0004906860493409937,178,1376.0,1594,372,192,s_f_exc_3_11,"[3, 11]",-0.01021689706250295
24,24,-15.594789459058381,3.3559387208725866e-05,0.0004571266621322678,42,1408.0,1604,372,192,s_f_exc_4_12,"[4, 12]",-0.020607277394673544
25,25,-15.594837532498147,4.8073439765872195e-05,0.00040905322236639563,64,1440.0,1614,380,192,s_f_exc_2_10,"[2, 10]",-0.009441197033257237
26,26,-15.594856587092316,1.9054594169176653e-05,0.000389998628197219,62,1472.0,1624,380,198,s_f_exc_5_13,"[5, 13]",0.026969215234641283
27,27,-15.59485955886948,2.9717771639070634e-06,0.0003870268510333119,53,1552.0,1696,412,198,"d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.0008169607249367673
28,28,-15.59486250384553,2.94497604969024e-06,0.0003840818749836217,59,1600.0,1768,412,198,"d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.008189010134270274
29,29,-15.594863708369388,1.2045238584335038e-06,0.00038287735112518817,106,1744.0,1840,444,222,"d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0017028408520894341
30,30,-15.594864913976968,1.205607579990442e-06,0.00038167174354519773,100,1824.0,1912,476,222,"d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.010924735194070268
31,31,-15.594865962110934,1.0481339653978239e-06,0.0003806236095797999,75,1936.0,1984,508,222,"d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.013465963272246837
32,32,-15.594867011241927,1.049130993635572e-06,0.00037957447858616433,124,2048.0,2056,540,246,"d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.033500465940610666
33,33,-15.594867663425617,6.521836901640654e-07,0.00037892229489600027,78,2088.0,2066,548,246,s_f_exc_1_11,"[1, 11]",-0.004965713587689812
34,34,-15.5948683053724,6.419467819540614e-07,0.0003782803481140462,88,2128.0,2076,556,246,s_f_exc_0_10,"[0, 10]",-0.00041816766029776346
35,35,-15.594871708075614,3.4027032143058022e-06,0.0003748776448997404,88,2176.0,2148,556,246,"d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0160296843956431
36,36,-15.594874917080379,3.2090047650257247e-06,0.0003716686401347147,95,2224.0,2220,556,246,"d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.016055467388600735
37,37,-15.594886910267265,1.1993186886272156e-05,0.0003596754532484425,101,2368.0,2292,572,270,"d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.41932505206949344
38,38,-15.594897627187667,1.071692040177652e-05,0.000348958532846666,127,2544.0,2364,604,294,"d_f_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",-0.46564050580746175
39,39,-15.594903821795356,6.194607689025133e-06,0.00034276392515764087,125,2688.0,2436,636,294,"d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.38743428212904096
40,40,-15.594909128445089,5.306649732972346e-06,0.0003374572754246685,136,2864.0,2508,668,318,"d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",-0.42188631342529476
41,41,-15.594950567819208,4.143937411882348e-05,0.00029601790130584504,61,2912.0,2580,668,318,"d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.0381658430386975
42,42,-15.594991311775061,4.074395585362822e-05,0.0002552739454522168,132,2960.0,2652,668,318,"d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.03880094336039548
43,43,-15.594991679445137,3.676700757182516e-07,0.00025490627537649857,173,3136.0,2724,668,342,"d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",-0.01066064782053884
44,44,-15.594992044416601,3.64971464605901e-07,0.00025454130391189267,171,3312.0,2796,700,342,"d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",-0.001896530438699493
45,45,-15.594992047304007,2.887405869955728e-09,0.0002545384165060227,125,3424.0,2868,732,342,"d_f_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",-0.005018350437589824
46,46,-15.594992050122892,2.818884681232703e-09,0.0002545355976213415,45,3536.0,2940,764,366,"d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",0.01572853548106361
47,47,-15.594992122701678,7.257878564814746e-08,0.00025446301883569333,120,3712.0,3012,796,366,"d_f_exc_[0, 1]_[2, 11]","[[0, 1], [2, 11]]",-0.001284583634513866
48,48,-15.594992239544549,1.1684287137825322e-07,0.0002543461759643151,89,3888.0,3084,828,390,"d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",-0.08846210463732229
49,49,-15.594992354707042,1.151624928752426e-07,0.00025423101347143984,101,4096.0,3156,860,414,"d_f_exc_[0, 11]_[12, 13]","[[0, 11], [12, 13]]",0.007876878515028243
50,50,-15.594992417124434,6.24173921437432e-08,0.0002541685960792961,128,4240.0,3228,892,414,"d_f_exc_[0, 1]_[3, 10]","[[0, 1], [3, 10]]",0.003014540400101293
51,51,-15.594992572779475,1.5565504085657267e-07,0.0002540129410384395,80,4384.0,3300,892,414,"d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.006353571452093854
52,52,-15.5949927272468,1.5446732426482868e-07,0.0002538584737141747,150,4592.0,3372,924,438,"d_f_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",0.0022736115937986878
53,53,-15.594993024977544,2.9773074494698903e-07,0.0002535607429692277,158,4640.0,3444,924,438,"d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.004610691227089847
54,54,-15.59514973185492,0.00015670687737667777,9.685386559254994e-05,262,4688.0,3516,924,462,"d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.7816593515311323
55,55,-15.595209530806383,5.979895146168701e-05,3.7054914130862926e-05,186,4736.0,3588,956,486,"d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.018816873204766178
56,56,-15.595227591899606,1.806109322366467e-05,1.8993820907198256e-05,202,4784.0,3660,956,486,"d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.12242756990320645
57,57,-15.595235623246653,8.031347046966175e-06,1.096247386023208e-05,266,4832.0,3732,988,486,"d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-1.1983509273558204
