,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.567249581999585,0.0064278694008361725,0.027997003720985347,6,34.0,68,13,11,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04766107656144174
2,2,-15.575185326774891,0.00793574477530612,0.020061258945679228,8,47.0,101,21,21,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07899313821197271
3,3,-15.578650298109595,0.0034649713347043587,0.01659628761097487,10,81.0,171,31,33,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04320015971375986
4,4,-15.582195135619354,0.003544837509759091,0.013051450101215778,12,94.0,204,42,44,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.040913985317745066
5,5,-15.587634058203582,0.005438922584227512,0.007612527516988266,17,107.0,237,42,44,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.057514169343212095
6,6,-15.589389210918661,0.001755152715078978,0.0058573748019092875,16,120.0,270,48,44,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02960246666281743
7,7,-15.59189627020146,0.002507059282798707,0.0033503155191105805,79,133.0,303,59,55,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.0543520555116299
8,8,-15.594261365359488,0.0023650951580282964,0.000985220361082284,21,146.0,336,70,66,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.053525917370028674
9,9,-15.59434603904431,8.467368482278914e-05,0.0009005466762594949,92,176.0,404,80,78,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0012809037313207781
10,10,-15.594429759203178,8.372015886770612e-05,0.0008168265173917888,91,206.0,472,90,90,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.001185686123172075
11,11,-15.59447173926991,4.198006673128418e-05,0.0007748464506605046,58,219.0,505,90,90,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0003364597954773417
12,12,-15.594507391616007,3.565234609759216e-05,0.0007391941045629125,134,232.0,538,90,90,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0005712210576311798
13,13,-15.59460756349066,0.00010017187465294342,0.000639022229909969,93,266.0,608,103,101,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0010240738260408257
14,14,-15.594631101095116,2.3537604455725614e-05,0.0006154846254542434,91,279.0,641,103,101,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0017384302813982075
15,15,-15.594654408904985,2.330780986881109e-05,0.0005921768155854323,85,292.0,674,103,101,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0007044395528911698
16,16,-15.594672327833802,1.791892881719548e-05,0.0005742578867682369,168,322.0,742,113,113,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0017483356235120815
