,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415828,0.005934828817071747,0.02849004430477109,6,6.0,9,4,3,1j [Y4 Y5 Y10 X11],[],-0.022480088349697946
2,2,-15.570917364460858,0.004160823045030071,0.02432922125974102,8,12.0,18,6,5,1j [Y3 Y4 Y11 X12],[],-0.048351460353932306
3,3,-15.57520421339615,0.004286848935292298,0.02004237232444872,10,18.0,27,8,5,1j [Y2 Y5 Y10 X13],[],-0.042317092738723104
4,4,-15.578025861956922,0.002821648560772161,0.01722072376367656,12,24.0,36,12,6,1j [Y4 X5 Y12 Y13],[],0.043774556628695636
5,5,-15.582218190910256,0.004192328953333657,0.013028394810342903,15,30.0,45,12,8,1j [Y2 Y3 X10 Y11],[],-0.04819567255096732
6,6,-15.584741808662196,0.0025236177519403213,0.010504777058402581,17,36.0,54,16,9,1j [Y3 Y4 X10 Y13],[],0.042386192934107364
7,7,-15.587540300710137,0.0027984920479404707,0.0077062850104621106,19,42.0,63,16,10,1j [Y2 X5 Y11 Y12],[],-0.024027011770370182
8,8,-15.589270925053835,0.00173062434369875,0.0059756606667633605,34,48.0,72,16,12,1j [Y2 Y3 X12 Y13],[],-0.008412403883735183
9,9,-15.591675649530268,0.002404724476432918,0.0035709361903304426,162,54.0,81,16,12,1j [Y2 X3 Y8 Y9],[],0.029018840181373812
10,10,-15.59393299353738,0.002257344007110973,0.0013135921832194697,176,60.0,90,20,12,1j [X2 Y3 Y6 Y7],[],0.009254968634802234
11,11,-15.593974705403664,4.171186628454393e-05,0.0012718803169349258,35,66.0,99,20,13,1j [Y0 Y1 X10 Y11],[],0.0008892686347755637
12,12,-15.594090057993629,0.00011535258996531184,0.001156527726969614,64,72.0,108,24,14,1j [Y2 Y3 Y4 X5],[],0.004805670916987954
13,13,-15.59412564056202,3.5582568390424285e-05,0.0011209451585791896,75,78.0,117,24,15,1j [Y0 Y1 X12 Y13],[],-1.50988604602587e-05
14,14,-15.594146153745731,2.051318371165678e-05,0.0011004319748675329,123,84.0,126,24,15,1j [Y0 X1 Y6 Y7],[],0.0017635136538569716
15,15,-15.594166496677648,2.03429319167725e-05,0.0010800890429507604,48,90.0,135,24,15,1j [X0 Y1 Y8 Y9],[],0.0017386997780951567
16,16,-15.594210634530441,4.413785279311355e-05,0.0010359511901576468,33,96.0,144,24,16,1j [X1 X2 Y6 X7],[],0.0028371692392414128
17,17,-15.59425456221763,4.3927687189082576e-05,0.0009920235029685642,65,102.0,153,24,18,1j [Y1 Y2 Y8 X9],[],-0.0007795456429520421
18,18,-15.594297062923086,4.2500705456305354e-05,0.0009495227975122589,51,108.0,162,28,18,1j [Y0 Y3 Y8 X9],[],0.0007988611938596572
19,19,-15.594339358780381,4.229585729476071e-05,0.0009072269402174982,73,114.0,171,32,18,1j [X0 X3 Y6 X7],[],-0.0006560020268363291
20,20,-15.594376059730342,3.670094996088835e-05,0.0008705259902566098,81,120.0,180,32,18,1j [Y8 X9 Y10 Y11],[],-0.0006267322088267362
21,21,-15.594412776213629,3.6716483286625134e-05,0.0008338095069699847,113,126.0,189,32,19,1j [Y6 X7 X10 X11],[],-0.0015057718709479864
22,22,-15.594434759290593,2.1983076964104953e-05,0.0008118264300058797,88,132.0,198,32,19,1j [Y6 Y7 Y8 X9],[],-0.00028901119808455846
23,23,-15.594485457220394,5.0697929800946895e-05,0.0007611285002049328,35,138.0,207,32,21,1j [Y2 X4 Y11 Y13],[],-0.0007931059892879404
24,24,-15.594496864067757,1.1406847363559791e-05,0.000749721652841373,101,144.0,216,32,21,1j [Y8 X9 Y12 Y13],[],-0.0029239402334660784
25,25,-15.594505710228459,8.846160701736494e-06,0.0007408754921396365,21,150.0,225,32,24,1j [X1 X2 Y12 X13],[],-0.00043132077918349454
26,26,-15.594514490067615,8.779839156147773e-06,0.0007320956529834888,227,156.0,234,36,27,1j [X0 X3 Y12 X13],[],-0.0017413352242038888
27,27,-15.594525355044443,1.08649768275626e-05,0.0007212306761559262,40,162.0,243,36,30,1j [Y6 X7 Y12 Y13],[],0.0007472310860187354
28,28,-15.594534392018911,9.03697446830165e-06,0.0007121937016876245,36,168.0,252,36,33,1j [Y10 Y11 X12 Y13],[],-0.003082345332157063
29,29,-15.594603208315338,6.881629642663256e-05,0.000643377405260992,115,170.0,257,36,33,1j [X2 Y10],1j [X2 Y10],0.01186996781825481
30,30,-15.594671332965753,6.812465041505789e-05,0.0005752527548459341,86,172.0,262,38,33,1j [X3 Y11],1j [X3 Y11],-0.011606095994406878
31,31,-15.59468508503238,1.375206662679318e-05,0.0005615006882191409,64,178.0,271,38,33,1j [Y2 Y4 X10 Y12],[],0.005974770865646244
32,32,-15.594688166346286,3.081313906250216e-06,0.0005584193743128907,91,184.0,280,42,33,1j [X0 X3 X10 Y11],[],0.004154398319285829
33,33,-15.594699226249984,1.1059903698651397e-05,0.0005473594706142393,70,190.0,289,44,36,1j [X3 X5 Y11 X13],[],-0.052696604623414335
34,34,-15.594702269142308,3.0428923238901007e-06,0.0005443165782903492,60,196.0,298,44,36,1j [X1 X2 X10 Y11],[],-0.0012183054366894863
35,35,-15.594716824698699,1.45555563904054e-05,0.0005297610218999438,144,198.0,303,44,36,1j [Y4 X12],1j [Y4 X12],0.0021716346819313213
36,36,-15.59473131236447,1.4487665771056868e-05,0.0005152733561288869,145,200.0,308,44,39,1j [Y5 X13],1j [Y5 X13],0.004343999771345488
37,37,-15.594731981768472,6.694040024513015e-07,0.0005146039521264356,25,206.0,317,44,39,1j [X0 Y1 X4 X5],[],0.0008084212857734542
38,38,-15.594733293907888,1.312139415787783e-06,0.0005132918127106478,115,212.0,326,48,42,1j [Y0 Y5 X10 Y13],[],-0.004839669316474584
39,39,-15.594734400276783,1.106368895165133e-06,0.0005121854438154827,28,218.0,335,48,42,1j [X1 X4 Y11 X12],[],-0.0024951178488837214
40,40,-15.594735477247818,1.0769710350189143e-06,0.0005111084727804638,116,224.0,344,48,42,1j [X0 Y5 Y11 Y12],[],0.0006060935602504305
