,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756541415844,0.005934828817094839,0.02849004430476576,6,6.0,9,4,3,1j [Y4 Y5 Y10 X11],[],-0.06973637362763208
2,2,-15.570917364460872,0.004160823045028295,0.024329221259737466,8,12.0,18,6,5,1j [Y3 Y4 Y11 X12],[],-0.028407265783260294
3,3,-15.575204213396162,0.0042868489352905215,0.020042372324446944,10,18.0,27,8,5,1j [Y2 Y5 Y10 X13],[],0.02151175810606942
4,4,-15.578025861956931,0.002821648560768608,0.017220723763678336,12,24.0,36,12,6,1j [Y4 X5 Y12 Y13],[],0.04731350245134885
5,5,-15.582218190910272,0.004192328953340763,0.013028394810337574,15,30.0,45,12,8,1j [Y2 Y3 X10 Y11],[],0.012619234210700665
6,6,-15.584741808662208,0.0025236177519367686,0.010504777058400805,17,36.0,54,16,9,1j [Y3 Y4 X10 Y13],[],-0.006451678887004856
7,7,-15.587540300710153,0.0027984920479440234,0.0077062850104567815,19,42.0,63,16,10,1j [Y2 X5 Y11 Y12],[],0.012544148460515587
8,8,-15.589270925053846,0.001730624343693421,0.0059756606667633605,85,48.0,72,16,12,1j [Y2 Y3 X12 Y13],[],-0.03165487210883396
9,9,-15.591675649530275,0.002404724476429365,0.0035709361903339953,47,54.0,81,16,12,1j [Y2 X3 Y6 Y7],[],0.04327964800654922
10,10,-15.593932993537386,0.002257344007110973,0.0013135921832230224,49,60.0,90,20,12,1j [X2 Y3 Y8 Y9],[],0.00873580233563773
11,11,-15.593974705403676,4.1711866289873e-05,0.0012718803169331494,88,66.0,99,20,13,1j [Y0 Y1 X10 Y11],[],0.0004048172682798605
12,12,-15.594090057993636,0.00011535258995998277,0.0011565277269731666,63,72.0,108,24,14,1j [X2 X3 X4 Y5],[],-0.006600237690052622
13,13,-15.594125640562028,3.558256839220064e-05,0.001120945158580966,49,78.0,117,24,15,1j [Y0 Y1 X12 Y13],[],0.000819213947836289
14,14,-15.59414615374573,2.051318370099864e-05,0.0011004319748799674,40,84.0,126,24,15,1j [X0 Y1 Y8 Y9],[],0.0016011830359010115
15,15,-15.594166496677651,2.034293192210157e-05,0.0010800890429578658,25,90.0,135,24,15,1j [Y0 X1 Y6 Y7],[],0.0016463190065617737
16,16,-15.594210634530455,4.413785280377169e-05,0.001035951190154094,120,96.0,144,24,16,1j [X1 X2 Y8 X9],[],-0.00022211234517768882
17,17,-15.59425456221765,4.3927687194411646e-05,0.0009920235029596824,106,102.0,153,24,18,1j [Y1 Y2 Y6 X7],[],-8.656589895776312e-05
18,18,-15.594297062923095,4.250070544564721e-05,0.0009495227975140352,63,108.0,162,28,18,1j [Y0 Y3 Y6 X7],[],-0.0011097816709823352
19,19,-15.594339358780394,4.229585729831342e-05,0.0009072269402157218,126,114.0,171,32,18,1j [X0 X3 Y8 X9],[],0.0005832183805533938
20,20,-15.59437605973037,3.670094997687556e-05,0.0008705259902388462,76,120.0,180,32,18,1j [Y6 X7 Y10 Y11],[],-0.007755122903809728
21,21,-15.594412776213634,3.6716483263532496e-05,0.0008338095069753138,95,126.0,189,32,19,1j [Y8 X9 X10 X11],[],-0.002645432483482396
22,22,-15.594434759290603,2.1983076969434023e-05,0.0008118264300058797,43,132.0,198,32,19,1j [Y6 X7 Y8 Y9],[],0.001834045915216346
23,23,-15.594446223818478,1.1464527874593955e-05,0.0008003619021312858,95,138.0,207,32,19,1j [Y8 Y9 Y12 X13],[],-0.005148727054834046
24,24,-15.594457717468064,1.1493649585858634e-05,0.0007888682525454271,34,144.0,216,32,21,1j [Y6 X7 Y12 Y13],[],0.01936372229891522
25,25,-15.594466457813507,8.740345442959097e-06,0.000780127907102468,64,150.0,225,32,24,1j [Y1 Y2 X12 Y13],[],-0.0005658466412077982
26,26,-15.59447511324815,8.655434642790283e-06,0.0007714724724596778,85,156.0,234,36,27,1j [X0 Y3 Y12 Y13],[],0.0017159167492673724
27,27,-15.594484567727413,9.454479263482085e-06,0.0007620179931961957,81,162.0,243,36,30,1j [Y10 Y11 X12 Y13],[],-0.005234228956911411
28,28,-15.594553003649313,6.843592190008962e-05,0.000693582071296106,101,164.0,248,36,30,1j [Y2 X10],1j [Y2 X10],0.03712499745479724
29,29,-15.594620980494017,6.797684470427612e-05,0.0006256052265918299,42,166.0,253,38,30,1j [Y3 X11],1j [Y3 X11],0.032400799107161676
30,30,-15.594635994950464,1.5014456446138524e-05,0.0006105907701456914,67,172.0,262,38,30,1j [Y2 X4 X10 X12],[],-0.03420300072162142
31,31,-15.594647119102698,1.112415223403218e-05,0.0005994666179116592,78,178.0,271,40,33,1j [Y3 X5 Y11 Y13],[],-0.03257416357422987
32,32,-15.594650168077164,3.0489744666795104e-06,0.0005964176434449797,27,184.0,280,40,33,1j [Y1 Y2 Y10 X11],[],0.0010504857925075018
33,33,-15.594653178724412,3.0106472479474178e-06,0.0005934069961970323,88,190.0,289,44,33,1j [X0 Y3 X10 X11],[],-0.0008087062301247103
34,34,-15.59466802208257,1.4843358158600495e-05,0.0005785636380384318,80,192.0,294,44,36,1j [X5 Y13],1j [X5 Y13],-0.012768351926964138
35,35,-15.594682271294793,1.4249212222594565e-05,0.0005643144258158372,126,194.0,299,44,36,1j [X4 Y12],1j [X4 Y12],-0.002558908241741703
36,36,-15.594682926320075,6.550252820147762e-07,0.0005636594005338225,27,200.0,308,44,36,1j [Y0 X1 Y4 Y5],[],-0.00014823545022395171
37,37,-15.594684247392689,1.321072613080787e-06,0.0005623383279207417,98,206.0,317,48,39,1j [Y0 X5 X10 X13],[],0.0013265610730646628
38,38,-15.59468531694174,1.069549051990748e-06,0.0005612687788687509,36,212.0,326,48,39,1j [X0 X5 X11 Y12],[],-0.00019097159359973082
39,39,-15.594686379621681,1.0626799404889198e-06,0.000560206098928262,189,218.0,335,48,39,1j [X1 Y4 Y11 Y12],[],-0.00016038081720026043
40,40,-15.594693558160413,7.178538732333095e-06,0.0005530275601959289,83,224.0,344,48,39,1j [X4 Y5 Y8 Y9],[],-0.004494934387069406
41,41,-15.594694499123,9.409625860712367e-07,0.0005520865976098577,126,230.0,353,52,42,1j [Y1 Y4 X10 Y13],[],-0.00010243741580692263
42,42,-15.594754174022798,5.967489979852303e-05,0.0004924116978113346,87,236.0,362,52,42,1j [X2 Y3 Y6 Y7],[],-0.021210406515694752
43,43,-15.594809959386117,5.578536331896089e-05,0.00043662633449237376,110,242.0,371,52,42,1j [Y2 X3 Y8 Y9],[],0.018268512840224644
44,44,-15.59481268669249,2.727306373628835e-06,0.0004338990281187449,99,248.0,380,54,42,1j [Y3 Y4 X5 Y10],[],0.15582705786197248
45,45,-15.594841600292616,2.8913600125690664e-05,0.00040498542799305426,135,254.0,389,56,42,1j [X3 Y4 Y5 Y10],[],-0.15154081663148422
46,46,-15.59484633016998,4.729877364439972e-06,0.0004002555506286143,176,260.0,398,60,45,1j [X3 X10 X12 Y13],[],0.03651781234298824
47,47,-15.594853411978693,7.0818087127833e-06,0.000393173741915831,96,266.0,407,64,45,1j [X5 X10 Y11 X12],[],-0.016660265033705348
48,48,-15.594861694952327,8.282973633200186e-06,0.0003848907682826308,85,272.0,416,64,48,1j [Y2 X3 Y4 Y13],[],-0.0028101834336625615
49,49,-15.594863643694554,1.948742227142475e-06,0.0003829420260554883,103,278.0,425,66,48,1j [X2 X3 Y5 X12],[],0.03034893768400806
50,50,-15.594864383803245,7.401086907776744e-07,0.00038220191736471065,49,280.0,430,66,48,1j [X1 Y11],1j [X1 Y11],0.00025216015202987277
51,51,-15.594864960646776,5.768435311637177e-07,0.00038162507383354694,94,282.0,435,66,48,1j [X0 Y10],1j [X0 Y10],-0.0026711811557348034
52,52,-15.594865815805491,8.551587153959872e-07,0.00038076991511815095,184,288.0,444,66,51,1j [X2 Y11 X12 X13],[],0.0824626306045132
53,53,-15.594923848296304,5.803249081282047e-05,0.0003227374243053305,86,294.0,453,66,54,1j [X2 X11 X12 Y13],[],-0.06459878208287277
54,54,-15.594924112192615,2.638963110257464e-07,0.00032247352799430473,144,300.0,462,66,54,1j [Y0 X1 X2 X11],[],-0.00018033529435456522
55,55,-15.594955982730937,3.187053832220954e-05,0.0002906029896720952,79,306.0,471,70,57,1j [X2 X5 Y10 X13],[],-0.020786019181985586
56,56,-15.594968687800456,1.2705069519114431e-05,0.00027789792015298076,111,312.0,480,74,60,1j [X3 Y10 Y12 Y13],[],0.013978600485377345
57,57,-15.594969374406796,6.866063397836797e-07,0.0002772113138131971,63,318.0,489,76,60,1j [Y3 Y8 Y9 X10],[],-0.04711302929945774
58,58,-15.594969426823733,5.2416936568988604e-08,0.0002771588968766281,70,324.0,498,78,60,1j [X0 X1 Y3 X10],[],0.0004495356532813652
59,59,-15.594984857621078,1.543079734567243e-05,0.00026172809953095566,92,330.0,507,82,63,1j [Y2 X5 Y10 Y13],[],0.03329428572150451
60,60,-15.594993676706611,8.819085532962845e-06,0.0002529090139979928,89,336.0,516,84,63,1j [Y3 X8 Y9 Y10],[],0.05968840486876707
61,61,-15.594993773258285,9.655167332311976e-08,0.0002528124623246697,76,342.0,525,86,63,1j [X1 Y2 X3 X10],[],-0.0003783694094290914
62,62,-15.594993859027758,8.576947330141138e-08,0.0002527266928513683,76,348.0,534,88,63,1j [X1 Y6 Y7 Y10],[],-0.0005982719147526268
63,63,-15.594996509173678,2.6501459196026644e-06,0.0002500765469317656,113,354.0,543,90,66,1j [X1 X6 Y7 X10],[],0.0003121063060385162
64,64,-15.594996996996102,4.878224242332863e-07,0.00024958872450753233,76,360.0,552,90,66,1j [Y4 X5 Y6 Y7],[],-0.006899810781994664
65,65,-15.595006409387327,9.412391225538386e-06,0.00024017633328199395,159,362.0,557,92,69,1j [X2 Y10],1j [X2 Y10],0.04824430258133458
66,66,-15.595008219297936,1.8099106089408679e-06,0.00023836642267305308,105,368.0,566,94,72,1j [X3 X6 Y7 X10],[],-0.07363799838148838
67,67,-15.595008445741826,2.2644388941728266e-07,0.0002381399787836358,94,374.0,575,96,75,1j [X1 Y8 Y9 Y10],[],-0.0007906011649868178
68,68,-15.595010859015582,2.413273756829426e-06,0.00023572670502680637,118,380.0,584,98,78,1j [X1 X8 Y9 X10],[],-0.00035694612124981365
69,69,-15.595014362418755,3.503403172899766e-06,0.0002322233018539066,94,386.0,593,100,81,1j [X3 Y6 Y7 Y10],[],-0.05306312210103683
70,70,-15.59501440731175,4.4892994210954384e-08,0.00023217840885969565,92,392.0,602,100,81,1j [Y0 Y2 X4 Y12],[],-0.004493676077387897
71,71,-15.595016267094387,1.8597826372257487e-06,0.0002303186262224699,109,398.0,611,100,81,1j [X0 X2 Y4 X12],[],-0.0011987979192291634
72,72,-15.595016308296318,4.1201930756074034e-08,0.00023027742429171383,138,404.0,620,100,81,1j [X1 X3 Y5 X13],[],0.0012640042973572083
73,73,-15.595018318668437,2.0103721194431046e-06,0.00022826705217227072,118,410.0,629,100,81,1j [X2 X3 X4 Y13],[],-0.006533759928886637
74,74,-15.595018474199716,1.5553127852285797e-07,0.00022811152089374787,131,416.0,638,100,81,1j [Y5 X8 Y9 Y12],[],0.003924664393942476
75,75,-15.595018987941794,5.137420782119761e-07,0.0002275977788155359,74,422.0,647,100,81,1j [Y1 Y3 X5 Y13],[],-0.0004345595733865989
76,76,-15.595073455113207,5.446717141310842e-05,0.00017313060740242747,127,428.0,656,104,83,1j [X2 Y5 Y10 Y13],[],0.05331180554948273
77,77,-15.595076107052808,2.6519396012503194e-06,0.00017047866780117715,123,434.0,665,108,85,1j [Y0 Y1 X10 Y11],[],-0.0009957603162056667
78,78,-15.595107340240576,3.123318776765416e-05,0.000139245480033523,158,440.0,674,108,85,1j [Y5 Y8 Y9 X12],[],-0.018374666058688968
79,79,-15.595107491004322,1.5076374637601475e-07,0.00013909471628714698,177,446.0,683,108,85,1j [Y0 X1 Y5 Y12],[],0.00037443121060188895
80,80,-15.59510776791879,2.7691446824462673e-07,0.00013881780181890235,197,452.0,692,108,85,1j [Y0 Y3 Y5 X12],[],0.004391633560766457
