,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415842,0.0059348288170859576,0.02849004430475688,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.08158792123356795
1,2,-15.57521618204936,0.008459640633518006,0.020030403671238872,91,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.05131258091571549
2,2,-15.57521618204936,0.008459640633518006,0.020030403671238872,91,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.05366323957179049
3,3,-15.578093027055388,0.0028768450060283612,0.01715355866521051,10,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.0439000615822805
4,4,-15.58231753577324,0.004224508717852515,0.012929049947357996,11,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.05812214363988534
5,5,-15.587653234867314,0.005335699094073831,0.007593350853284164,14,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04233866055171641
6,5,-15.587653234867314,0.005335699094073831,0.007593350853284164,14,91.0,231,34,42,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04231942734030742
7,6,-15.589389210918673,0.0017359760513588895,0.005857374801925275,102,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.07427484890777318
8,7,-15.59189627020146,0.0025070592827862725,0.003350315519139002,21,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05484944924792968
9,8,-15.594261365359557,0.0023650951580975743,0.0009852203610414279,20,130.0,330,66,66,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05492502207946247
10,9,-15.594303340082368,4.1974722810422804e-05,0.000943245638231005,77,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00020899485170785466
11,10,-15.594339012528204,3.567244583635443e-05,0.0009075731923946506,148,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0002612485159594914
12,11,-15.59435949416098,2.04816327755708e-05,0.0008870915596190798,92,169.0,429,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0009897406335024
13,12,-15.594379775284864,2.0281123884302588e-05,0.0008668104357347772,79,182.0,462,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0015229545964700205
14,13,-15.59446637272361,8.659743874694925e-05,0.000780212996987828,149,208.0,528,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0003725231260453153
15,13,-15.59446637272361,8.659743874694925e-05,0.000780212996987828,149,208.0,528,72,76,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.0016818958313054536
16,14,-15.594551999146887,8.56264232762527e-05,0.0006945865737115753,59,234.0,594,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0003596118367051256
17,14,-15.594551999146887,8.56264232762527e-05,0.0006945865737115753,59,234.0,594,78,86,"d_q_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.001711583924233171
18,15,-15.594652145295306,0.00010014614841935554,0.0005944404252922197,81,260.0,660,89,97,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.925203739141439
19,15,-15.594652145295306,0.00010014614841935554,0.0005944404252922197,81,260.0,660,89,97,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.8080033614759528
20,16,-15.594670042042404,1.7896747097623233e-05,0.0005765436781945965,39,286.0,726,95,107,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.02447015701898501
21,16,-15.594670042042404,1.7896747097623233e-05,0.0005765436781945965,39,286.0,726,95,107,"d_q_exc_[1, 2]_[13, 12]","[[1, 2], [13, 12]]",-0.003953874586843965
22,17,-15.594822913630106,0.00015287158770149745,0.00042367209049309906,124,292.0,740,98,111,s_q_exc_2_10,"[2, 10]",-0.12076000901746682
23,17,-15.594822913630106,0.00015287158770149745,0.00042367209049309906,124,292.0,740,98,111,s_q_exc_3_11,"[3, 11]",0.16298506495014384
24,18,-15.594828837139223,5.923509117877757e-06,0.0004177485813752213,95,318.0,806,104,121,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.030627485072693927
25,18,-15.594828837139223,5.923509117877757e-06,0.0004177485813752213,95,318.0,806,104,121,"d_q_exc_[1, 2]_[11, 10]","[[1, 2], [11, 10]]",-0.03671870950392579
