,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415826,0.005934828817073523,0.028490044304847473,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.03081706682017885
1,2,-15.575216182049335,0.008459640633509125,0.020030403671338348,66,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.10366487970992234
2,2,-15.575216182049335,0.008459640633509125,0.020030403671338348,66,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.014384526801299716
3,3,-15.579277222736508,0.004061040687172834,0.015969362984165514,9,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.02488465303059084
4,4,-15.583848267372653,0.004571044636145771,0.011398318348019743,62,65.0,165,26,29,"d_q_exc_[10, 11]_[12, 13]","[[10, 11], [12, 13]]",0.6994247965892739
5,5,-15.58929014212132,0.005441874748665754,0.005956443599353989,16,91.0,231,33,35,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.041232774055318853
6,5,-15.58929014212132,0.005441874748665754,0.005956443599353989,16,91.0,231,33,35,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.040301628954797615
7,6,-15.591809952964645,0.002519810843326198,0.003436632756027791,20,104.0,264,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.2128692747167917
8,7,-15.594185487451236,0.00237553448659078,0.0010610982694370108,24,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.23130236599276832
9,8,-15.594292296151934,0.00010680870069812443,0.0009542895687388864,25,130.0,330,60,61,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",0.0005155282964463664
10,9,-15.594430637618933,0.0001383414669984262,0.0008159481017404602,29,136.0,344,63,65,s_q_exc_3_11,"[3, 11]",0.505651578330506
11,9,-15.594430637618933,0.0001383414669984262,0.0008159481017404602,29,136.0,344,63,65,s_q_exc_2_10,"[2, 10]",0.43865348453925496
