,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.460520785305583,0.004853011786069672,0.02122028462525094,5,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",1.136841986863372
2,2,-15.46417200479718,0.0036512194915960805,0.01756906513365486,7,26.0,66,11,11,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.06570865218273116
3,3,-15.467587588827358,0.003415584030179275,0.014153481103475585,9,39.0,99,22,22,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.06540966090831478
4,4,-15.469889667783566,0.002302078956207154,0.01185140214726843,11,52.0,132,33,33,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.5975938689300623
5,5,-15.472223195304744,0.0023335275211788797,0.00951787462608955,35,65.0,165,33,33,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.004508703330686336
6,6,-15.474529069958992,0.002305874654247475,0.007211999971842076,13,78.0,198,44,44,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.18085813524679906
7,7,-15.476198454022132,0.0016693840631401002,0.0055426159087019755,73,91.0,231,44,52,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.23784161144829416
8,8,-15.477961115179369,0.0017626611572367779,0.0037799547514651977,36,104.0,264,44,52,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.8674988589439986
9,9,-15.479870321479092,0.001909206299723465,0.0018707484517417328,21,117.0,297,55,55,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.025438328404829208
10,10,-15.480906100685212,0.0010357792061199689,0.0008349692456217639,20,130.0,330,66,66,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.03576343309712611
11,11,-15.48098484856091,7.874787569761565e-05,0.0007562213699241482,28,133.0,337,66,66,s_q_exc_3_11,"[3, 11]",0.08738246941396244
12,12,-15.481062951855389,7.810329447899278e-05,0.0006781180754451555,84,136.0,344,69,70,s_q_exc_2_10,"[2, 10]",-0.056232863274476845
13,13,-15.481111369726152,4.8417870763373116e-05,0.0006297002046817823,77,149.0,377,75,80,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0004573915341401903
14,14,-15.481159283962471,4.791423631900216e-05,0.0005817859683627802,195,162.0,410,81,90,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.00043217639645186406
15,15,-15.481206384162444,4.7100199973115764e-05,0.0005346857683896644,94,175.0,443,81,90,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0004484602977111536
16,16,-15.481252996427601,4.661226515700889e-05,0.0004880735032326555,151,188.0,476,81,90,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.00035480046189528776
17,17,-15.481289854248466,3.685782086471079e-05,0.00045121568236794474,38,201.0,509,81,90,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-3.104850323141594e-05
18,18,-15.48132292814753,3.307389906481717e-05,0.00041814178330312757,184,214.0,542,81,90,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.02660588209050984
19,19,-15.48135403808127,3.110993373844906e-05,0.0003870318495646785,37,227.0,575,81,90,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.026753439010351366
20,20,-15.481375749725135,2.1711643865884866e-05,0.00036532020569879364,79,240.0,608,81,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0014079475285860572
21,21,-15.481397213377683,2.146365254773741e-05,0.00034385655315105623,86,253.0,641,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0015026652191857102
22,22,-15.481516023476622,0.00011881009893954797,0.00022504645421150826,148,266.0,674,81,90,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-1.332569732284088
23,23,-15.481592300801363,7.627732474091431e-05,0.00014876912947059395,124,279.0,707,81,90,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",1.2272011747131395
24,24,-15.48160077906878,8.47826741612323e-06,0.00014029086205447072,106,292.0,740,89,97,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0013033611466069716
25,25,-15.481608425111759,7.646042979203571e-06,0.00013264481907526715,112,305.0,773,89,100,"d_q_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-0.00880229328435042
26,26,-15.481618828823231,1.0403711472761756e-05,0.0001222411076025054,147,318.0,806,92,101,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.04309998940257987
27,27,-15.48162641281112,7.583987889248078e-06,0.00011465711971325732,119,331.0,839,95,107,"d_q_exc_[0, 4]_[10, 12]","[[0, 4], [10, 12]]",-0.03810352609277926
28,28,-15.481633366984063,6.954172942386094e-06,0.00010770294677087122,98,344.0,872,95,110,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",1.1926582245062858
29,29,-15.481640562836802,7.195852738561825e-06,0.0001005070940323094,104,357.0,905,103,117,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",1.4796072805987976
30,30,-15.481646748480886,6.1856440840557525e-06,9.432144994825364e-05,117,370.0,938,103,120,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.035208368545402186
31,31,-15.481652604200434,5.855719548364391e-06,8.846573039988925e-05,143,383.0,971,107,127,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.2736668737093351
32,32,-15.481656258633759,3.6544333248400562e-06,8.48112970750492e-05,118,396.0,1004,107,127,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-4.90859713099592e-05
33,33,-15.481658720518853,2.4618850940072434e-06,8.234941198104195e-05,99,409.0,1037,107,127,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.01884023975946109
34,34,-15.481661145245294,2.424726440963809e-06,7.992468554007814e-05,123,422.0,1070,109,127,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.32787472130396733
35,35,-15.481662455341601,1.3100963069945237e-06,7.861458923308362e-05,121,435.0,1103,113,137,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.23812850136874553
36,36,-15.481667709600938,5.254259336950895e-06,7.336032989613273e-05,157,438.0,1110,116,141,s_q_exc_4_12,"[4, 12]",0.06881501396767882
