,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-2.1116666204040357,0.016712460574134447,0.023867978227587017,8,13.0,33,11,11,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.12564528187919588
2,2,-2.1219943006244426,0.010327680220406865,0.013540298007180152,10,47.0,101,21,21,"spin_d_f_exc_[1, 2]_[5, 6]","[[1, 2], [5, 6]]",0.04503344555508198
3,3,-2.1251107094931583,0.00311640886871567,0.010423889138464482,14,60.0,134,24,22,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.027322564875063675
4,4,-2.1291598063573183,0.004049096864159996,0.006374792274304486,15,73.0,167,35,33,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.048494655698172455
5,5,-2.1313335901502413,0.0021737837929229897,0.004201008481381496,17,86.0,200,35,33,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.024974383349681887
6,6,-2.1333189728386746,0.0019853826884332904,0.002215625792948206,21,120.0,270,48,44,"spin_d_f_exc_[1, 2]_[4, 7]","[[1, 2], [4, 7]]",-0.022995331752301854
7,7,-2.1354293821262376,0.0021104092875630087,0.00010521650538519722,24,154.0,340,61,55,"spin_d_f_exc_[1, 3]_[5, 7]","[[1, 3], [5, 7]]",0.022496343834562286
8,8,-2.1354869972843007,5.7615158063129e-05,4.760134732206822e-05,25,172.0,362,66,63,spin_wise_s_f_exc_4_0,"[0, 4]",0.005775975657999289
9,9,-2.135525522847369,3.852556306815913e-05,9.075784253909092e-06,86,190.0,384,66,63,spin_wise_s_f_exc_6_2,"[2, 6]",-0.0033999035687085175
10,10,-2.135534382200677,8.859353308299234e-06,2.1643094560985787e-07,26,228.0,454,79,74,"spin_d_f_exc_[1, 4]_[6, 7]","[[1, 4], [6, 7]]",-0.00829106192395524
11,11,-2.1355345063850812,1.2418440409334153e-07,9.224654151651634e-08,25,266.0,524,98,95,"spin_d_f_exc_[0, 1]_[3, 6]","[[0, 1], [3, 6]]",0.001115270542949852
12,12,-2.135534598631602,9.224652064432348e-08,2.0872192862952943e-14,93,279.0,557,98,95,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.013329873726355457
13,13,-2.1355345986316063,4.440892098500626e-15,1.6431300764452317e-14,110,292.0,590,98,95,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-3.4839112042569504e-09
