,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.8771196234358785,0.013985934751604034,0.0056422253100203434,6,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.18553445037791189
1,2,-7.880581566203064,0.0034619427671858105,0.002180282542834533,9,59.0,103,37,33,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.057656721277280464
2,2,-7.880581566203064,0.0034619427671858105,0.002180282542834533,9,59.0,103,37,33,"eff_d_f_exc_[3, 2]_[4, 11]","[[3, 2], [4, 11]]",-0.05775284097358606
3,3,-7.880668708374632,8.714217156757798e-05,0.002093140371266955,10,72.0,136,37,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.004004571215178934
4,4,-7.881251449985459,0.0005827416108274974,0.0015103987604394575,70,85.0,169,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.028330059726780852
5,5,-7.881806943859636,0.000555493874176527,0.0009549048862629306,13,98.0,202,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.028341604639771596
6,6,-7.882217915759752,0.00041097190011640805,0.0005439329861465225,13,111.0,235,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.034610113471393984
7,7,-7.882233950748897,1.6034989144486644e-05,0.0005278979970020359,53,124.0,268,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0019064558403184152
8,8,-7.882249868462763,1.5917713866109295e-05,0.0005119802831359266,69,137.0,301,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.001906595094672323
9,9,-7.882291154029336,4.128556657345683e-05,0.00047069471656246975,18,167.0,369,80,78,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003198895802405292
10,9,-7.882291154029336,4.128556657345683e-05,0.00047069471656246975,18,167.0,369,80,78,"eff_d_f_exc_[0, 3]_[7, 6]","[[0, 3], [7, 6]]",0.0031988625795864156
11,10,-7.882331839546518,4.068551718194868e-05,0.00043000919938052107,47,197.0,437,90,90,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0031990874544812462
12,10,-7.882331839546518,4.068551718194868e-05,0.00043000919938052107,47,197.0,437,90,90,"eff_d_f_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",0.0031990479742078966
13,11,-7.882337633396665,5.793850146318391e-06,0.0004242153492342027,54,210.0,470,90,90,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0013706522642540915
14,12,-7.882705461221782,0.0003678278251175726,5.638752411663006e-05,109,220.0,492,95,98,eff_s_f_exc_4_2,"[2, 4]",-0.03690519899133808
15,12,-7.882705461221782,0.0003678278251175726,5.638752411663006e-05,109,220.0,492,95,98,eff_s_f_exc_5_3,"[3, 5]",-0.03690510849227442
16,13,-7.882741340005143,3.587878336119843e-05,2.050874075543163e-05,81,254.0,514,100,106,eff_s_f_exc_10_2,"[2, 10]",0.004636728577429698
17,13,-7.882741340005143,3.587878336119843e-05,2.050874075543163e-05,81,254.0,514,100,106,eff_s_f_exc_11_3,"[3, 11]",0.004636780861002568
18,14,-7.882745631439903,4.291434759551294e-06,1.6217305995880338e-05,56,304.0,584,110,116,"eff_d_f_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",-0.01640965919049392
19,14,-7.882745631439903,4.291434759551294e-06,1.6217305995880338e-05,56,304.0,584,110,116,"eff_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.016409986481079022
20,15,-7.882748959116045,3.3276761417511125e-06,1.2889629854129225e-05,46,354.0,654,118,126,"eff_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.0008300160523178383
21,15,-7.882748959116045,3.3276761417511125e-06,1.2889629854129225e-05,46,354.0,654,118,126,"eff_d_f_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.000829456956550745
22,16,-7.882750685255512,1.7261394669176866e-06,1.1163490387211539e-05,132,396.0,676,124,126,eff_s_f_exc_11_1,"[1, 11]",0.0005267756939889593
23,16,-7.882750685255512,1.7261394669176866e-06,1.1163490387211539e-05,132,396.0,676,124,126,eff_s_f_exc_10_0,"[0, 10]",0.0005267021834864966
24,17,-7.882751297454247,6.121987352614155e-07,1.0551291651950123e-05,82,426.0,744,134,138,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.00029634189232016084
25,17,-7.882751297454247,6.121987352614155e-07,1.0551291651950123e-05,82,426.0,744,134,138,"eff_d_f_exc_[0, 3]_[11, 10]","[[0, 3], [11, 10]]",0.0002963929393139116
26,18,-7.882751394525206,9.707095927069531e-08,1.0454220692679428e-05,91,472.0,814,140,138,"eff_d_f_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",0.00031528871636008675
27,18,-7.882751394525206,9.707095927069531e-08,1.0454220692679428e-05,91,472.0,814,140,138,"eff_d_f_exc_[1, 0]_[5, 10]","[[1, 0], [5, 10]]",0.00031531927960251805
28,19,-7.882751603003999,2.0847879245167178e-07,1.0245741900227756e-05,72,502.0,882,153,150,"eff_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.0002505046417016606
29,19,-7.882751603003999,2.0847879245167178e-07,1.0245741900227756e-05,72,502.0,882,153,150,"eff_d_f_exc_[0, 3]_[5, 4]","[[0, 3], [5, 4]]",0.00025045161510623044
