,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435898,0.013985934751632456,0.005642225310011462,7,13.0,33,11,11,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.1868353170443128
2,2,-7.880581565166618,0.0034619417307197864,0.0021802835792916753,8,59.0,103,37,33,"spin_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.057696100488057823
3,3,-7.880668707338342,8.714217172389738e-05,0.002093141407567778,82,72.0,136,37,33,"spin_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00813040577640051
4,4,-7.8812514490238685,0.0005827416855268552,0.0015103997220409227,16,85.0,169,48,44,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.028338004048109725
5,5,-7.8818069429649,0.000555493941031493,0.0009549057810094297,16,98.0,202,59,55,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.028349093404284292
6,6,-7.882217914231838,0.00041097126693756536,0.0005439345140718643,67,111.0,235,70,66,"spin_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.03465892139590092
7,7,-7.882233949284223,1.6035052385454662e-05,0.0005278994616864097,28,124.0,268,70,66,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.001897797692358516
8,8,-7.8822498670449175,1.5917760694428296e-05,0.0005119817009919814,85,137.0,301,70,66,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001897899053622673
9,9,-7.882291152612805,4.1285567887960894e-05,0.0004706961331040205,86,167.0,369,80,78,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0032000776233742003
10,10,-7.882331838126905,4.0685514099969566e-05,0.0004300106190040509,46,197.0,437,90,90,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003200118248835486
11,11,-7.882337632037171,5.793910265339264e-06,0.00042421670873871165,70,210.0,470,90,90,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.001298538090665143
12,12,-7.882705458399038,0.000367826361867607,5.639034687110467e-05,109,220.0,492,95,98,spin_s_f_exc_4_2,"[2, 4]",-0.03693062940515598
13,13,-7.8827413369894295,3.5878590391114074e-05,2.0511756479990595e-05,113,254.0,514,100,106,spin_s_f_exc_10_2,"[2, 10]",0.004648285063847635
14,14,-7.882745628413069,4.291423639557479e-06,1.6220332840433116e-05,58,304.0,584,110,116,"spin_d_f_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.0009674081176067943
15,15,-7.882748956084785,3.327671715958047e-06,1.2892661124475069e-05,67,354.0,654,118,126,"spin_d_f_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.016578477455968056
16,16,-7.882750682220441,1.7261356557440877e-06,1.1166525468730981e-05,86,396.0,676,124,126,spin_s_f_exc_10_0,"[0, 10]",0.000491929467848811
17,17,-7.882751294417095,6.121966542593782e-07,1.0554328814471603e-05,86,426.0,744,134,138,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0002983635421736085
18,18,-7.882751391489157,9.707206238829258e-08,1.045725675208331e-05,178,472.0,814,140,138,"spin_d_f_exc_[0, 1]_[5, 10]","[[0, 1], [5, 10]]",-0.011396261509188967
19,19,-7.882751599966743,2.084775854171994e-07,1.0248779166666111e-05,73,502.0,882,153,150,"spin_d_f_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.00025614618627885926
