,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435883,0.013985934751608475,0.0056422253100159026,22,6.0,9,4,3,1j [Y2 Y3 Y10 X11],[],-0.11184404305398521
2,2,-7.87888799860763,0.0017683751717472163,0.0038738501382686863,244,12.0,18,8,5,1j [Y2 Y3 Y5 X10],[],0.05647949976302713
3,3,-7.880525932752596,0.0016379341449654916,0.0022359159933031947,247,18.0,27,12,6,1j [Y2 X3 Y4 Y11],[],0.05669828527232116
4,4,-7.880612764382954,8.683163035883013e-05,0.0021490843629443646,198,24.0,36,12,6,1j [Y0 X1 Y4 Y5],[],0.0039151551860410905
5,5,-7.881177241373186,0.0005644769902319879,0.0015846073727123766,177,30.0,45,16,8,1j [Y2 X3 Y4 Y5],[],0.03155672129390782
6,6,-7.881650775418125,0.00047353404493843954,0.001111073327773937,98,36.0,54,20,10,1j [Y2 Y3 Y8 X9],[],-0.014209668682382149
7,7,-7.8821079207450415,0.00045714532691665255,0.0006539280008572845,155,42.0,63,24,12,1j [Y2 X3 Y6 Y7],[],0.027350092333569605
8,8,-7.882124205760405,1.6285015363770583e-05,0.000637642985493514,162,48.0,72,24,12,1j [Y0 Y1 Y6 X7],[],-0.0019238771725179691
9,9,-7.882140112036305,1.5906275899979505e-05,0.0006217367095935344,255,54.0,81,24,12,1j [Y0 X1 Y8 Y9],[],0.0019184195193272897
10,10,-7.882167833976401,2.772194009548201e-05,0.0005940147694980524,374,60.0,90,24,12,1j [Y6 X7 X10 X11],[],-0.003062238423437037
11,11,-7.882195638380641,2.780440424032804e-05,0.0005662103652577244,366,66.0,99,24,12,1j [Y8 Y9 Y10 X11],[],-0.0030695334583235767
12,12,-7.882215943075811,2.0304695169670595e-05,0.0005459056700880538,576,72.0,108,24,14,1j [Y1 Y2 Y8 X9],[],-0.0017375010597345066
13,13,-7.882236227652834,2.0284577023410577e-05,0.0005256210930646432,467,78.0,117,28,14,1j [Y0 Y3 Y6 X7],[],0.0016075175547876266
14,14,-7.882256070229668,1.9842576834072645e-05,0.0005057785162305706,434,84.0,126,32,16,1j [X0 X3 Y8 X9],[],-0.001761302413359581
15,15,-7.882275892530883,1.9822301214666993e-05,0.0004859562150159036,988,90.0,135,32,16,1j [X1 X2 Y6 X7],[],0.0018152145660743034
16,16,-7.882281693404959,5.800874076200557e-06,0.000480155340939703,470,96.0,144,32,16,1j [Y0 Y1 Y10 X11],[],-0.0013935337501026143
17,17,-7.882457965582654,0.00017627217769522474,0.0003038831632444783,2046,98.0,149,32,18,1j [X2 Y4],1j [X2 Y4],0.03795702507933299
18,18,-7.882614565544792,0.00015659996213734928,0.000147283201107129,1022,100.0,154,34,18,1j [X3 Y5],1j [X3 Y5],-0.03836873848486813
19,19,-7.882634319180296,1.975363550421605e-05,0.00012752956560291295,758,106.0,163,36,20,1j [X3 X4 Y10 X11],[],0.004825779345461563
20,20,-7.882649299275681,1.4980095385475067e-05,0.00011254947021743789,1234,112.0,172,36,21,1j [Y2 X5 X10 X11],[],0.004145539800936804
21,21,-7.882668459486451,1.9160210769975095e-05,9.338925944746279e-05,853,114.0,177,36,21,1j [X4 Y10],1j [X4 Y10],0.004819850377098979
22,22,-7.882686648605934,1.8189119482592275e-05,7.520013996487052e-05,1130,116.0,182,36,24,1j [X5 Y11],1j [X5 Y11],-0.004644714380497533
23,23,-7.882692608739197,5.9601332633718584e-06,6.924000670149866e-05,1752,122.0,191,36,27,1j [X4 Y8 Y9 Y11],[],-0.0016067235373294607
24,24,-7.882698638470506,6.029731308920816e-06,6.321027539257784e-05,1458,128.0,200,36,30,1j [Y4 X6 Y7 Y11],[],0.0018855517806051095
25,25,-7.882704370438265,5.731967759103895e-06,5.7478307633473946e-05,974,134.0,209,36,30,1j [Y5 Y8 Y9 X10],[],0.002027722201323266
26,26,-7.882710153505361,5.783067095421757e-06,5.169524053805219e-05,982,140.0,218,36,30,1j [Y5 X6 Y7 Y10],[],-0.0019429050593601672
27,27,-7.882712534333219,2.3808278584169784e-06,4.931441267963521e-05,3116,146.0,227,36,33,1j [Y1 X2 X4 X11],[],0.0009219907802938971
28,28,-7.8827248584504925,1.2324117273365687e-05,3.6990295406269524e-05,992,148.0,232,36,33,1j [Y2 X10],1j [Y2 X10],0.005090297078385009
29,29,-7.882727227564722,2.369114229239244e-06,3.462118117703028e-05,3478,154.0,241,40,33,1j [Y0 X3 X5 X10],[],0.0009360699905539933
30,30,-7.882729093420834,1.8658561122819606e-06,3.275532506474832e-05,1090,160.0,250,44,36,1j [X1 X3 X5 Y11],[],0.0008119942233913546
31,31,-7.882730965315477,1.8718946428464278e-06,3.088343042190189e-05,1025,166.0,259,44,36,1j [X0 X2 X4 Y10],[],0.0007457664794097272
32,32,-7.882732610309745,1.6449942679130913e-06,2.92384361539888e-05,1600,172.0,268,44,36,1j [X4 X5 Y8 X9],[],0.0009349805279608186
33,33,-7.882736388072502,3.777762756840275e-06,2.5460673397148526e-05,1227,178.0,277,44,39,1j [X2 X4 X5 Y11],[],-0.002113259817485256
34,34,-7.882737917658186,1.5295856847785672e-06,2.393108771236996e-05,1514,184.0,286,44,39,1j [Y4 Y5 Y6 X7],[],0.0007821873801517453
35,35,-7.882739087965492,1.1703073052871105e-06,2.2760780407082848e-05,2370,190.0,295,44,39,1j [Y6 X7 Y8 Y9],[],-6.683319941588203e-05
36,36,-7.882741096517879,2.0085523875224e-06,2.0752228019560448e-05,1522,196.0,304,46,39,1j [X3 X4 Y5 X10],[],-0.0014918923927084533
37,37,-7.882741748427411,6.519095316903645e-07,2.0100318487870084e-05,1211,198.0,309,46,42,1j [Y1 X11],1j [Y1 X11],-0.0005189238670827441
38,38,-7.8827422815931145,5.331657035867465e-07,1.9567152784283337e-05,1002,200.0,314,46,42,1j [Y0 X10],1j [Y0 X10],0.0004873225461744036
39,39,-7.882744023611661,1.742018546302404e-06,1.7825134237980933e-05,2052,202.0,319,48,45,1j [Y3 X11],1j [Y3 X11],-0.001812987173278269
40,40,-7.882745065137282,1.0415256213036628e-06,1.678360861667727e-05,1724,208.0,328,50,45,1j [Y3 Y4 Y6 X7],[],0.001052695217678598
41,41,-7.882745199587498,1.3445021629365783e-07,1.6649158400383612e-05,1120,214.0,337,50,45,1j [X0 Y1 Y2 Y5],[],0.00025041193944508447
42,42,-7.8827461251212085,9.255337101166106e-07,1.5723624690267002e-05,1850,220.0,346,50,45,1j [X2 Y5 Y6 Y7],[],0.0006775657045791594
43,43,-7.8827463666558035,2.415345949913217e-07,1.548209009527568e-05,4457,226.0,355,50,48,1j [Y1 Y2 X10 Y11],[],-0.0002516306596034788
44,44,-7.882746478655117,1.1199931382321893e-07,1.537009078145246e-05,1566,232.0,364,54,48,1j [Y0 X1 Y3 Y4],[],-0.0003749281252414433
45,45,-7.882747343167393,8.645122759887158e-07,1.4505578505463745e-05,2446,238.0,373,54,48,1j [X2 X5 Y8 X9],[],0.00013277782160304536
46,46,-7.882747553777728,2.1061033450564537e-07,1.42949681709581e-05,2989,244.0,382,58,51,1j [Y0 Y3 Y10 X11],[],0.0003427652266580766
47,47,-7.882748279965987,7.261882588593949e-07,1.3568779912098705e-05,5010,250.0,391,60,51,1j [Y3 Y4 Y8 X9],[],0.0004996304195059323
48,48,-7.882748342770809,6.280482267584375e-08,1.3505975089422861e-05,2002,256.0,400,60,54,1j [Y0 Y1 X4 Y11],[],-0.001512660257815677
