,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.877119623435879,0.013985934751604923,0.005642225310037219,167,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.11032251478157219
2,2,-7.878915001650083,0.0017953782142035024,0.0038468470958337164,337,26.0,66,22,22,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05697747872272979
3,3,-7.880581566202956,0.0016665645528730622,0.0021802825429606543,542,39.0,99,33,33,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057355272848090874
4,4,-7.880668708374575,8.714217161909232e-05,0.002093140371341562,636,52.0,132,33,33,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003823277099069794
5,5,-7.881251449985227,0.0005827416106516381,0.0015103987606899238,551,65.0,165,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.02802292586502719
6,6,-7.881806943859559,0.0005554938743319582,0.0009549048863579657,194,78.0,198,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.02803293798156415
7,7,-7.882217915759596,0.00041097190003736017,0.0005439329863206055,562,91.0,231,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.015159732577921314
8,8,-7.882233950748685,1.6034989089419582e-05,0.0005278979972311859,667,104.0,264,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001829715890715455
9,9,-7.8822498684626385,1.591771395315078e-05,0.0005119802832780351,376,117.0,297,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0018280642666040068
10,10,-7.882270611904301,2.0743441662141038e-05,0.0004912368416158941,1034,130.0,330,72,76,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0036714575059169623
11,11,-7.8822913465332345,2.0734628933816168e-05,0.0004705022126820779,288,143.0,363,72,76,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0036919912926722037
12,12,-7.882311595619911,2.0249086676749073e-05,0.00045025312600532885,2005,156.0,396,72,80,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0036821656684704195
13,13,-7.882331839545576,2.0243925664686913e-05,0.00043000920034064194,2028,169.0,429,78,86,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0036722813244452228
14,14,-7.882337633395803,5.793850227142627e-06,0.0004242153501134993,930,182.0,462,78,86,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0009884756466308536
15,15,-7.88254177088763,0.00020413749182690566,0.00022007785828659365,546,185.0,469,81,90,s_q_exc_2_4,"[2, 4]",0.037849605432083044
