,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962070984,0.013985932025568,0.00564222803606,9,13,33,11,11,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.110340671
2,2,-7.87891492628091,0.001795305571068,0.003846922464992,13,38,68,24,22,"eff_d_f_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.0569974905
3,3,-7.88058150181277,0.001666575531859,0.002180346933133,17,59,103,37,33,"eff_d_f_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",-0.0570788909
4,4,-7.880668662104,8.71602912253522E-05,0.002093186641908,21,72,136,37,33,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.00452682686
5,5,-7.8812513270642,0.000582664960201,0.001510521681706,25,85,169,48,44,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.0283190412
6,6,-7.8818069094766,0.000555582412405,0.000954939269302,43,98,202,59,55,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.0283285178
7,7,-7.88221774254493,0.00041083306833,0.000544106200971,49,111,235,70,66,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.0341600916
8,8,-7.88223383530567,1.60927607382178E-05,0.000528013440233,37,124,268,70,66,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.00181557672
9,9,-7.88224977584851,1.59405428359349E-05,0.000512072897397,41,137,301,70,66,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.00181420369
10,10,-7.88227055524146,2.0779392956527E-05,0.000491293504441,45,154,336,74,70,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.324354944
11,11,-7.88229128344516,2.0728203696585E-05,0.000470565300744,61,167,369,80,78,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.00314791257
