,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.8771196234358785,0.013985934751604034,0.0056422253100203434,0,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.1310226133453097
2,2,-7.878915001650168,0.0017953782142896557,0.0038468470957306877,0,16.0,40,11,11,s_q_exc_4_10,"[4, 10]",-0.4506026610485942
3,3,-7.880581566203079,0.0016665645529112538,0.002180282542819434,0,29.0,73,22,22,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.05884094270099884
4,4,-7.881164294635838,0.000582728432758195,0.001597554110061239,0,42.0,106,22,22,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.23598009972290426
5,5,-7.881719776104244,0.0005554814684067821,0.0010420726416544568,0,55.0,139,22,27,"d_q_exc_[8, 9]_[10, 11]","[[8, 9], [10, 11]]",-0.24280517425318143
6,6,-7.882133592810401,0.000413816706156922,0.0006282559354975348,0,68.0,172,33,33,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.01603745606837408
7,7,-7.882337609897068,0.00020401708666639706,0.0004242388488311377,0,71.0,179,36,37,s_q_exc_2_4,"[2, 4]",-0.035274559820102844
8,8,-7.882520162261161,0.00018255236409370212,0.0002416864847374356,0,74.0,186,36,37,s_q_exc_3_5,"[3, 5]",0.03819483191331408
9,9,-7.882597302358409,7.714009724768545e-05,0.00016454638748975015,0,87.0,219,36,37,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.0037282108917904284
10,10,-7.882619077995307,2.1775636898091477e-05,0.00014277075059165867,0,100.0,252,42,47,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.012569966489040433
11,11,-7.882640586018469,2.1508023161587175e-05,0.00012126272743007149,0,113.0,285,42,47,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0033831159306816597
12,12,-7.882661824999633,2.12389811640179e-05,0.00010002374626605359,0,126.0,318,48,57,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.012686123061959783
