,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-7.779421404002884,0.012059268016390234,0.005038876264233494,6,13.0,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.0970305526196297
1,2,-7.781764171963521,0.0023427679606369267,0.002696108303596567,9,39.0,99,28,32,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",0.04348868351233561
2,2,-7.781764171963521,0.0023427679606369267,0.002696108303596567,9,39.0,99,28,32,"d_q_exc_[3, 2]_[5, 10]","[[3, 2], [5, 10]]",-0.043539845751465064
3,3,-7.7826890182196875,0.0009248462561668447,0.0017712620474297225,134,52.0,132,39,43,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.07183038793573172
4,4,-7.783566783220104,0.000877765000416808,0.0008934970470129144,12,65.0,165,50,54,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.07201587381356069
5,5,-7.783752818333543,0.00018603511343862067,0.0007074619335742938,74,78.0,198,61,65,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.021022402253574917
6,6,-7.784019627289124,0.0002668089555815101,0.0004406529779927837,14,84.0,212,64,69,s_q_exc_2_4,"[2, 4]",-0.0312754585608231
7,6,-7.784019627289124,0.0002668089555815101,0.0004406529779927837,14,84.0,212,64,69,s_q_exc_3_5,"[3, 5]",0.03139006898283753
8,7,-7.784206829066709,0.00018720177758435597,0.0002534512004084277,96,90.0,226,67,72,s_q_exc_0_2,"[0, 2]",-0.04497692525416972
9,7,-7.784206829066709,0.00018720177758435597,0.0002534512004084277,96,90.0,226,67,72,s_q_exc_1_3,"[1, 3]",0.040754961324854976
10,8,-7.784270930102167,6.410103545828605e-05,0.00018935016495014168,172,103.0,259,67,72,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003266247034568938
11,9,-7.784316415747101,4.5485644934117886e-05,0.0001438645200160238,66,129.0,325,73,82,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",0.002775872265502157
12,9,-7.784316415747101,4.5485644934117886e-05,0.0001438645200160238,66,129.0,325,73,82,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",0.002816592262650995
13,10,-7.78435313186739,3.671612028899318e-05,0.00010714839972703061,66,155.0,391,79,92,"d_q_exc_[1, 2]_[5, 10]","[[1, 2], [5, 10]]",-0.006163890362747839
14,10,-7.78435313186739,3.671612028899318e-05,0.00010714839972703061,66,155.0,391,79,92,"d_q_exc_[0, 3]_[4, 11]","[[0, 3], [4, 11]]",-0.006824527550122251
15,11,-7.784368678234096,1.554636670597631e-05,9.16020330210543e-05,91,168.0,424,79,92,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0016107864064425121
16,12,-7.7843841310129935,1.5452778897362407e-05,7.614925412369189e-05,56,181.0,457,79,92,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0016126384421673817
17,13,-7.784411522581812,2.739156881848004e-05,4.875768530521185e-05,76,207.0,523,79,92,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.001725096891021826
