,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-7.87711962343589,0.013985934751617,0.005642225310018,215,13,33,11,11,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.110313163980847
2,2,-7.87891500165013,0.001795378214249,0.003846847095769,113,26,66,22,22,"d_q_exc_[2, 3]_[4, 11]","[[2, 3], [4, 11]]",-0.057298188511855
3,3,-7.88058156620297,0.001666564552831,0.002180282542938,411,39,99,33,33,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.033280223345316
4,4,-7.88116429463577,0.000582728432805,0.001597554110132,527,52,132,44,44,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.028087947443817
5,5,-7.88171977610416,0.000555481468393,0.001042072641739,239,65,165,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.027942073794749
6,6,-7.88213359281033,0.000413816706162,0.000628255935577,275,78,198,66,66,"d_q_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",-0.031217434157988
7,7,-7.88233760989661,0.000204017086284,0.000424238849293,478,81,205,69,70,s_q_exc_2_4,"[2, 4]",0.04295288855986
8,8,-7.88252016226096,0.000182552364346,0.000241686484947,882,84,212,69,70,s_q_exc_3_5,"[3, 5]",-0.038811006482045
9,9,-7.88259730235787,7.71400969181712E-05,0.000164546388029,331,97,245,69,70,"d_q_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",-0.003800735322666
10,10,-7.88261907799477,2.17756368954269E-05,0.000142770751133,924,110,278,75,80,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.631137059426099
11,11,-7.8826405860179,2.15080231340536E-05,0.000121262727999,1156,123,311,75,80,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.002611593495686
12,12,-7.88266182499927,2.12389813656344E-05,0.000100023746634,2126,136,344,81,90,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.29421928038933
13,13,-7.8826828026583,2.09776590338606E-05,7.90460875998988E-05,571,149,377,81,90,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.004542719453774
14,14,-7.8827008946324,1.80919740975227E-05,6.09541135023761E-05,1668,162,410,81,90,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.002368751901694
15,15,-7.88271885247932,1.79578469188257E-05,4.29962665835504E-05,885,175,443,81,90,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.00235558503668
16,16,-7.88273412527666,1.52727973361522E-05,2.77234692473982E-05,2046,178,450,84,94,s_q_exc_2_10,"[2, 10]",-0.006321154279695
17,17,-7.88273981597685,5.69070019906803E-06,2.20327690483302E-05,4234,191,483,84,94,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.001237617258534
18,18,-7.88274211731087,2.30133401668553E-06,1.97314350316447E-05,1101,204,516,90,104,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",-0.070575303427668
19,19,-7.88274442022281,2.30291193759058E-06,1.74285230940541E-05,2259,217,549,90,104,"d_q_exc_[0, 3]_[5, 10]","[[0, 3], [5, 10]]",0.000865705318491
20,20,-7.88274622138106,1.80115825276772E-06,1.56273648412863E-05,1915,230,582,90,104,"d_q_exc_[1, 3]_[5, 11]","[[1, 3], [5, 11]]",-0.001236211713737
21,21,-7.88274801378358,1.79240251441115E-06,1.38349623268752E-05,1703,243,615,96,114,"d_q_exc_[0, 2]_[4, 10]","[[0, 2], [4, 10]]",-0.001048967737133
22,22,-7.88274963102789,1.61724431890775E-06,1.22177180079674E-05,2508,246,622,96,114,s_q_exc_3_11,"[3, 11]",0.002489631503128
23,23,-7.88275047162609,8.40598191054198E-07,1.13771198169133E-05,3192,249,629,96,114,s_q_exc_1_11,"[1, 11]",0.134675554389362
24,24,-7.8827511836048,7.11978711542827E-07,1.06651411053704E-05,2689,252,636,96,114,s_q_exc_0_10,"[0, 10]",-0.000458029386807
25,25,-7.88275149659797,3.1299317271305E-07,1.03521479326574E-05,919,265,669,102,124,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.000338032602748
26,26,-7.88275177254497,2.75946995031973E-07,1.00762009376254E-05,1354,278,702,102,124,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.014863773913607
27,27,-7.88275194064758,1.68102612718712E-07,9.90809832490669E-06,1984,281,709,102,124,s_q_exc_1_5,"[1, 5]",0.00038636018805
28,28,-7.88275206343974,1.22792158663287E-07,9.7853061662434E-06,2232,294,742,108,134,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",-0.219944336858964
29,29,-7.88275217010913,0.019618481424859,9.6786367658197E-06,2089,297,749,108,134,s_q_exc_0_4,"[0, 4]",-0.000337563680224
30,30,-7.88275226451245,9.44033216043749E-08,9.58423344421533E-06,4684,310,782,116,134,"d_q_exc_[0, 3]_[4, 5]","[[0, 3], [4, 5]]",5.34344574730838E-05
31,31,-7.8827523188732,5.43607496794607E-08,9.52987269453587E-06,1519,323,815,127,134,"d_q_exc_[0, 1]_[4, 11]","[[0, 1], [4, 11]]",-0.000125589876239
32,32,-7.88275313289501,8.14021809958376E-07,8.71585088457749E-06,14607,336,848,127,144,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.390030692634629
33,33,-7.88275435284459,1.21994957158478E-06,7.49590131299271E-06,5717,339,855,127,144,s_q_exc_1_11,"[1, 11]",-0.215483349006377
34,34,-7.88275529464884,9.41804256804346E-07,6.55409705618837E-06,10960,352,888,127,154,"d_q_exc_[1, 2]_[4, 5]","[[1, 2], [4, 5]]",0.179924742599056
35,35,-7.88275636026754,1.0656187008351E-06,5.48847835535327E-06,5033,365,921,131,165,"d_q_exc_[2, 3]_[5, 10]","[[2, 3], [5, 10]]",0.025561503432109
36,36,-7.88275686477326,5.04505720755333E-07,4.98397263459793E-06,5370,378,954,138,165,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.015352742734792
37,37,-7.88275866120954,1.7964362761802E-06,3.18753635841773E-06,6943,391,987,138,175,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.272089146240417
38,38,-7.88276035211063,1.69090109114478E-06,1.49663526727295E-06,5930,404,1020,149,185,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.234868822922099
39,39,-7.88276056593394,2.13823307504413E-07,1.28281195976854E-06,11246,417,1053,160,195,"d_q_exc_[1, 2]_[4, 11]","[[1, 2], [4, 11]]",0.055445916762848
40,40,-7.88276082114325,2.55209308797077E-07,1.02760265097146E-06,11005,420,1060,163,195,s_q_exc_1_11,"[1, 11]",0.094884941692154
