,r,fci_E
0,0.75,-14.748475950425272
1,0.8625,-15.00784551680826
2,0.975,-15.154175456464026
3,1.0875,-15.238245089106982
4,1.2,-15.282781163086272
5,1.3125,-15.302207805840123
6,1.425,-15.30584174913594
7,1.5375,-15.299849179215416
8,1.65,-15.289641812822628
9,1.7625,-15.303911696390097
10,1.875,-15.288533720352445
11,1.9875,-15.273994718674494
12,2.1,-15.255064122368879
13,2.2125,-15.2507467999648
14,2.325,-15.242511514036869
15,2.4375,-15.236293668302041
16,2.55,-15.231717061836418
17,2.6625,-15.228397787819844
18,2.775,-15.22600628757339
19,2.8875,-15.22428532748109
20,3.0,-15.223044586260162
