,r,E,fci_E,error,n_iters
0,0.75,-14.762781916472669,-14.762781974555244,5.808257519390736e-08,9594
0,1,-15.193535502061444,-15.19355188052085,1.6378459406496404e-05,1021
1,1.316,-15.331584952301366,-15.331592074198387,7.121897020567758e-06,1015
2,1.5,-15.334229141506922,-15.334269039790803,3.989828388029082e-05,1010
3,1.75,-15.313076830276017,-15.31308701956453,1.018928851337364e-05,1004
4,2,-15.326280337098348,-15.326301928528897,2.159143054925039e-05,1005
5,2.25,-15.332117187799858,-15.332125440994965,8.253195106888711e-06,1006
6,2.5,-15.333845417277317,-15.333851035797606,5.618520289019102e-06,1004
7,2.75,-15.334980702009727,-15.33498474562043,4.043610703163836e-06,1005
8,3,-15.335865241406825,-15.335868738185118,3.496778292699787e-06,1005
