,r,E,fci_E,error,n_iters
0,0.75,-14.7627810852004,-14.7627819745555,8.89355078470544E-07,50
1,1,-15.1935518274017,-15.1935518805213,5.31195940567386E-08,71
2,1.316,-15.3315920283547,-15.3315920741984,4.58437181549698E-08,61
3,1.5,-15.3331343390843,-15.3342690397907,0.001134700706391,71
4,1.75,-15.3056115042111,-15.3130870195644,0.007475515353347,66
5,2,-15.3263019147809,-15.3263019285291,1.37481617201729E-08,53
6,2.25,-15.3321252830487,-15.332125440995,1.57946265844089E-07,44
7,2.5,-15.3338509593024,-15.3338510357976,7.64952048371015E-08,50
8,2.75,-15.33498462916,-15.3349847456202,1.16460187271628E-07,46
9,3,-15.33586853667,-15.335868738185,2.01515009123909E-07,51
