,r,E,fci_E,error,n_iters
0,0.75,-14.7465510808915,-14.7627819745552,0.016230893663758,3570
1,1,-15.1771124494545,-15.1935518805212,0.016439431066722,5078
2,1.316,-15.3023522492343,-15.3315920741987,0.029239824964403,4483
3,1.5,-15.3025330124984,-15.3342690397905,0.031736027292045,5074
4,1.75,-15.2762958065495,-15.3130870195639,0.036791213014361,4137
5,2,-15.2226341511469,-15.326301928529,0.10366777738203,5089
6,2.25,-15.2281755025957,-15.332125440995,0.103949938399259,1903
7,2.5,-15.227601062996,-15.3338510357978,0.106249972801834,1154
8,2.75,-15.3348808067335,-15.3349847456205,0.000103938886985,5040
9,3,-15.335813976434,-15.3358687381851,5.47617510431309E-05,5017
