,r,E,fci_E,error,n_iters
0,0.75,-15.037482888763043,-15.038723030157925,0.001240141394882599,103.0
1,1.0,-15.481451627801805,-15.481741069930802,0.0002894421289969529,139.0
2,1.25,-15.591451998706848,-15.591770742793132,0.00031874408628418394,121.0
3,1.5,-15.575533524246021,-15.576051245101747,0.0005177208557256563,98.0
4,1.75,-15.51480646968469,-15.515486684562617,0.0006802148779279094,264.0
5,2.0,-15.391515740087714,-15.446093740192916,0.05457800010520231,347.0
6,2.25,-15.308296988992886,-15.387444022224056,0.07914703323116967,230.0
7,2.5,-15.24514762825352,-15.351834313460321,0.10668668520680136,130.0
8,2.75,-15.219598509838,-15.339271790089418,0.11967328025141732,111.0
9,3.0,-15.232254939904415,-15.336804236076922,0.10454929617250741,206.0
10,3.25,-15.260944697208306,-15.3366136162104,0.07566891900209427,67.0
11,3.5,-15.260944697208306,-15.3366136162104,0.07566891900209427,1.0
12,3.75,-15.260944697208306,-15.3366136162104,0.07566891900209427,1.0
