,r,E,fci_E,error,n_iters
0,0.75,-15.0378527326748,-15.0387230301579,0.000870297483058,102
1,1,-15.481740850095,-15.4817410699308,2.1983579934215E-07,99
2,1.25,-15.5917703734857,-15.5917707427931,3.69307429082255E-07,101
3,1.5,-15.5760454195052,-15.5760512451017,5.82559650119663E-06,102
4,1.75,-15.5154827549739,-15.5154866845626,3.92958869888105E-06,102
5,2,-15.4460931772465,-15.4460937401929,5.62946400606279E-07,102
6,2.25,-15.3874432123008,-15.3874440222241,8.09923299982529E-07,103
7,2.5,-15.3518330619613,-15.3518343134603,1.25149900043198E-06,102
8,2.75,-15.3392696974467,-15.3392717900894,2.09264270090159E-06,103
9,3,-15.3368040668589,-15.3368042360769,1.6921799961267E-07,105
10,3.25,-15.3366117227867,-15.3366136162104,1.89342367917789E-06,106
