,r,E,fci_E,error,n_iters
0,0.75,-15.010660097271991,-15.03872303015795,0.028062932885958958,1.0
1,1.0,-15.455667773521132,-15.481741069930745,0.026073296409613533,1.0
2,1.25,-15.559892394438627,-15.591770742793154,0.03187834835452641,1.0
3,1.5,-15.532213326876311,-15.576051245101569,0.04383791822525751,1.0
4,1.75,-15.452457539547591,-15.515486684562568,0.06302914501497625,1.0
5,2.0,-15.354417332189811,-15.446093740193154,0.09167640800334276,1.0
6,2.25,-15.254779373720645,-15.387444022224368,0.13266464850372373,1.0
7,2.5,-15.163068977837405,-15.351834313460456,0.1887653356230512,1.0
8,2.75,-15.085084060857136,-15.339271790089454,0.25418772923231714,1.0
9,3.0,-15.02421000574418,-15.336804236076858,0.3125942303326781,1.0
10,3.25,-14.981773005033455,-15.33661361621019,0.35484061117673527,1.0
