,r,E,fci_E,error,n_iters
0,0.75,-15.010660097271991,-15.038723030158007,0.0280629328860158,1.0
1,1.0,-15.455667773521132,-15.481741069930745,0.026073296409613533,1.0
2,1.25,-15.559892394438604,-15.591770742793068,0.03187834835446424,1.0
3,1.5,-15.532213326876319,-15.576051245101533,0.04383791822521488,1.0
4,1.75,-15.452457539547591,-15.515486684562656,0.06302914501506507,1.0
5,2.0,-15.354417332189817,-15.446093740192916,0.0916764080030994,1.0
6,2.25,-15.25477937372063,-15.387444022224152,0.13266464850352122,1.0
7,2.5,-15.163068977837405,-15.351834313460161,0.18876533562275633,1.0
8,2.75,-15.08508406085713,-15.33927179008956,0.2541877292324308,1.0
9,3.0,-15.024210005744157,-15.336804236076922,0.3125942303327651,1.0
10,3.25,-14.981773005033434,-15.336613616210332,0.3548406111768987,1.0
