,r,E,fci_E,error,n_iters
0,0.75,-15.0387229864491,-15.0387230301579,4.37088001348229E-08,99
1,1,-15.4817410319764,-15.4817410699308,3.7954400511353E-08,94
2,1.316,-15.5952465065447,-15.5952465857207,7.91759440232909E-08,96
3,1.5,-15.5760511682699,-15.5760512451017,7.68317960364584E-08,113
4,1.75,-15.5154865590221,-15.5154866845626,1.25540537965207E-07,107
5,2,-15.4460936958988,-15.4460937401929,4.42940724099117E-08,124
6,2.25,-15.3874440079452,-15.3874440222241,1.42788980639352E-08,134
7,2.5,-15.3518342919782,-15.3518343134603,2.1482149392682E-08,120
8,2.75,-15.3392717456169,-15.3392717900894,4.44725252179978E-08,122
9,3,-15.3368040668589,-15.3368042360769,1.6921799961267E-07,105
10,3.25,-15.3366117227867,-15.3366136162104,1.89342370049417E-06,106
