,r,E,fci_E,error,n_iters
0,0.75,-15.038376062140912,-15.03872302909756,0.00034696695664848676,187
1,1.0,-15.48147468294135,-15.481741069507578,0.0002663865662277942,104
2,1.25,-15.591438191037406,-15.591770742728599,0.0003325516911925064,116
3,1.5,-15.575472608447772,-15.576051245231909,0.0005786367841373874,117
4,1.75,-15.514263330174229,-15.515486684789998,0.0012233546157691677,43
5,2.0,-15.443230466330228,-15.44609374044299,0.0028632741127623262,104
6,2.25,-15.380954471832267,-15.387444022410572,0.0064895505783049146,60
7,2.5,-15.340069183951446,-15.351834313507846,0.011765129556399856,129
8,2.75,-15.32213433550115,-15.339271790108736,0.017137454607585312,114
9,3.0,-15.318052505630053,-15.336804236064932,0.018751730434878766,60
10,3.25,-15.321236365281992,-15.336613616187766,0.015377250905773465,119
