,r,E,fci_E,error,n_iters
0,0.75,-15.03838970731,-15.0387230301579,0.000333322847975,91
1,1,-15.481475238617,-15.4817410699308,0.00026583131376,79
2,1.25,-15.5914393486424,-15.591770742793,0.000331394150555,119
3,1.5,-15.575474957427,-15.5760512451016,0.000576287674571,130
4,1.75,-15.5142676707796,-15.5154866845626,0.001219013783007,45
5,2,-15.4432367790782,-15.4460937401932,0.002856961114951,79
6,2.25,-15.380937267329,-15.387444022224,0.00650675489503,94
7,2.5,-15.3398728166595,-15.3518343134603,0.011961496800815,91
8,2.75,-15.3221734448957,-15.3392717900895,0.017098345193768,108
9,3,-15.3188955713989,-15.3368042360769,0.017908664677981,80
10,3.25,-15.3225336523769,-15.3366136162104,0.014079963833535,73
11,3.5,-15.3225336523769,-15.3366136162104,0.014079963833535,44
12,3.75,-15.3225336523769,-15.3366136162104,0.014079963833535,44
