,r,E,fci_E,error,n_iters
0,0.5,-2.22510115485865,-2.22510618779691,5.03293825993012E-06,138
1,0.75,-1,-3.15530480091475,2.15530480091475,1
2,1,-1,-3.23606627977584,2.23606627977584,1
3,1.25,-3.12498672102439,-3.12498672400297,2.97858315789767E-09,195
4,1.5,-2.99556539861514,-2.99556542550464,2.68894959631893E-08,193
5,1.75,-2.90130014305066,-2.90130015023143,7.18076664796285E-09,195
6,2,-2.84719213370596,-2.8471921338124,1.06440634084493E-10,197
7,2.25,-2.82051436880606,-2.82051436885491,4.88467044590379E-11,198
8,2.5,-2.80842740059914,-2.80842740059971,5.6532556413913E-13,198
9,2.75,-2.80317589387079,-2.8031758938708,1.37667655053519E-14,198
10,3,-2.80095889963875,-2.80095889964658,7.8301809480763E-12,198
