,r,E,fci_E,error,n_iters
0,0.5,-2.22502262927803,-2.22510618779696,8.35585189298271E-05,57
1,0.75,-3.15508212218198,-3.15530480091481,0.000222678732828,41
2,1,-3.23545219418626,-3.23606627977584,0.000614085589577,33
3,1.25,-3.12313741526581,-3.12498672400294,0.001849308737124,34
4,1.5,-2.99075403806025,-2.99556542550463,0.004811387444382,26
5,1.75,-2.89215655683111,-2.90130015023145,0.009143593400343,26
6,2,-2.83461905875704,-2.84719213381242,0.012573075055375,31
7,2.25,-2.8069540802602,-2.82051436885492,0.013560288594718,39
8,2.5,-2.80290488901518,-2.80842740059967,0.005522511584493,83
9,2.75,-2.8003240005765,-2.80317589387078,0.002851893294288,85
10,3,-2.7993232901995,-2.80095889964661,0.001635609447104,80
