,r,E,fci_E,error,n_iters
0,1,-7.658932359344892,-7.658932361200903,1.8560113446142168e-09,1038
1,1.25,-7.730941298346191,-7.730941299824241,1.4780496826460876e-09,611
2,1.546,-7.763686108553145,-7.763686112216183,3.6630378730251323e-09,646
3,1.75,-7.772239009812685,-7.772239015318272,5.505587097331954e-09,429
4,2,-7.776211291947559,-7.776211285883006,6.064552415807611e-09,614
5,2.25,-7.777456163827471,-7.7774561652845335,1.4570629147669933e-09,355
6,2.5,-7.778151208883145,-7.778151212114223,3.2310785158529143e-09,391
7,2.75,-7.778962080127057,-7.778962082473441,2.3463844200932726e-09,643
8,3,-7.779872156497748,-7.779872158300358,1.8026096171297468e-09,520
9,3.25,-7.780706116092169,-7.78070611810277,2.010600574919863e-09,407
10,3.5,-7.781354009705039,-7.78135401147321,1.7681713870842941e-09,467
