,r,E,fci_E,error,n_iters
0,1,-7.65893233074951,-7.65893236120099,3.04514813365131E-08,23
1,1.25,-7.73094102051565,-7.73094129982405,2.79E-07,21
2,1.546,-7.76368536937842,-7.76368611221617,7.43E-07,21
3,1.75,-7.77223850813481,-7.77223901531831,5.07E-07,22
4,2,-7.77621065859959,-7.77621128588287,6.27E-07,21
5,2.25,-7.77745540440451,-7.77745616528414,7.61E-07,22
6,2.5,-7.77815001321173,-7.77815121211417,1.2E-06,22
7,2.75,-7.77896099687871,-7.77896208247344,1.09E-06,22
8,3,-7.77987182402222,-7.77987215830034,3.34E-07,22
9,3.25,-7.78070534139305,-7.78070611810262,7.77E-07,23
10,3.5,-7.78135275723379,-7.78135401147322,1.25E-06,22
