,r,E,fci_E,error,n_iters,rel_error,,tot_error,
0,1,-7.65893236120034,-7.65893236120099,6.54587495318992E-13,25,-8.54671988794535E-14,-9.38789558685616E-09,7.19019119012378E-08,-7.19019119012378E-08
1,1.25,-7.73094129714888,-7.73094129982405,2.67517297203312E-09,25,-3.46034573179298E-10,-9.25094007549217E-10,9.82702043874032E-09,-9.82702043874032E-09
2,1.546,-7.7636861102793,-7.76368611221617,1.93686666705162E-09,25,-2.49477714521091E-10,-2.27699489223828E-08,1.78715602847524E-07,-1.78715602847524E-07
3,1.75,-7.77223901531381,-7.77223901531831,4.49862369578113E-12,26,-5.78806658791295E-13,-1.08749977885205E-09,8.45680683403482E-09,-8.45680683403482E-09
4,2,-7.77621128455837,-7.77621128588287,1.32450228562675E-09,25,-1.70327456026932E-10,-4.20962827395361E-08,3.28674091162767E-07,-3.28674091162767E-07
5,2.25,-7.7774561632703,-7.77745616528414,2.01383709708125E-09,26,-2.58932619458759E-10,-1.51798189944669E-09,1.38198747766657E-08,-1.38198747766657E-08
6,2.5,-7.77815121199868,-7.77815121211417,1.15494280805706E-10,27,-1.48485517519308E-11,-1.58337013573055E-10,1.34706351483322E-09,-1.34706351483322E-09
7,2.75,-7.77896208180814,-7.77896208247344,6.65295374346897E-10,26,-8.55249540170346E-11,-1.62405093008788E-10,1.92863843475478E-09,-1.92863843475478E-09
8,3,-7.77987215656485,-7.77987215830034,1.73549441484511E-09,27,-2.23074927186388E-10,-5.71405393266176E-09,4.61901035066702E-08,-4.61901035066702E-08
9,3.25,-7.78070611755839,-7.78070611810262,5.44233103028091E-10,26,-6.99464926197306E-11,-2.64053114655743E-09,2.1089429948651E-08,-2.1089429948651E-08
10,3.5,-7.7813540112342,-7.78135401147322,2.39022135417599E-10,26,-3.07172935548897E-11,-1.33494425167673E-09,1.06266959429764E-08,-1.06266959429764E-08
