,r,E,fci_E,error,n_iters
0,1,-7.658932284810416,-7.658932361200978,7.639056143204925e-08,7224
1,1.25,-7.730941211580861,-7.730941299824241,8.824337971446994e-08,1720
2,1.546,-7.763685960578278,-7.763686112216227,1.516379493082809e-07,1199
3,1.75,-7.772238808904378,-7.772239015318272,2.0641389397724197e-07,831
4,2,-7.776211193502114,-7.776211285882867,9.23807528252496e-08,1585
5,2.25,-7.7774560562948665,-7.7774561652845335,1.0898966706918145e-07,535
6,2.5,-7.7781510966561545,-7.778151212114223,1.1545806888335619e-07,510
7,2.75,-7.778961974334839,-7.7789620824734484,1.0813860917835427e-07,494
8,3,-7.7798720632245155,-7.779872158300378,9.507586273826973e-08,415
9,3.25,-7.780706047964031,-7.780706118102787,7.013875524819468e-08,592
10,3.5,-7.781353957435117,-7.7813540114732564,5.403813929660828e-08,848
