,r,E,fci_E,error,n_iters,rel_error,,,,tot_error
0,1,-7.6589323609104,-7.65893236120099,2.90590662643808E-10,24,-3.79414060537892E-11,-8.54671988794535E-14,-9.38789558685616E-09,-7.21925025611597E-08,7.21925025611597E-08
1,1.25,-7.73094129982341,-7.73094129982405,6.44817532702291E-13,27,-8.34073766304525E-14,-3.46034573179298E-10,-9.25094007549217E-10,-9.82766525967269E-09,9.82766525967269E-09
2,1.546,-7.76368611217607,-7.76368611221617,4.01021438278804E-11,27,-5.16534842450505E-12,-2.49477714521091E-10,-2.27699489223828E-08,-1.78755705035015E-07,1.78755705035015E-07
3,1.75,-7.77223901530751,-7.77223901531831,1.08020259403929E-11,27,-1.38982163558251E-12,-5.78806658791295E-13,-1.08749977885205E-09,-8.46760885996836E-09,8.46760885996836E-09
4,2,-7.77621128588163,-7.77621128588287,1.23812071706197E-12,25,-1.59219017017951E-13,-1.70327456026932E-10,-4.20962827395361E-08,-3.28675329339414E-07,3.28675329339414E-07
5,2.25,-7.77745616315041,-7.77745616528414,2.13372608470763E-09,25,-2.74347555286422E-10,-2.58932619458759E-10,-1.51798189944669E-09,-1.59536008611603E-08,1.59536008611603E-08
6,2.5,-7.77815121211349,-7.77815121211417,6.83009204749396E-13,24,-8.78112531015976E-14,-1.48485517519308E-11,-1.58337013573055E-10,-1.34774652405785E-09,1.34774652405785E-09
7,2.75,-7.77896208247168,-7.77896208247344,1.75859327100625E-12,25,-2.26070425895106E-13,-8.55249540170346E-11,-1.62405093008788E-10,-1.9303970281903E-09,1.9303970281903E-09
8,3,-7.77987215284582,-7.77987215830034,5.45451950273446E-09,25,-7.01106572906759E-10,-2.23074927186388E-10,-5.71405393266176E-09,-5.16446229873243E-08,5.16446229873243E-08
9,3.25,-7.78070611727344,-7.78070611810262,8.29183832706804E-10,25,-1.06569226521226E-10,-6.99464926197306E-11,-2.64053114655743E-09,-2.19186137805854E-08,2.19186137805854E-08
