,r,E,fci_E,error,n_iters,rel_error,,,,,tot_error
0,1,-7.65893234081634,-7.65893236120099,2.03846513002759E-08,44,-2.66155260200447E-09,-3.79414060537892E-11,-8.54671988794535E-14,-9.38789558685616E-09,-9.25771536720305E-08,9.25771536720305E-08
1,1.25,-7.73094125538735,-7.73094129982405,4.44367005414392E-08,39,-5.74790301381132E-09,-8.34073766304525E-14,-3.46034573179298E-10,-9.25094007549217E-10,-5.42643657446243E-08,5.42643657446243E-08
2,1.546,-7.76368598084693,-7.76368611221617,1.31369239930734E-07,38,-1.6920988336574E-08,-5.16534842450505E-12,-2.49477714521091E-10,-2.27699489223828E-08,-3.10124941941949E-07,3.10124941941949E-07
3,1.75,-7.77223900328857,-7.77223901531831,1.20297425354465E-08,49,-1.54778340325825E-09,-1.38982163558251E-12,-5.78806658791295E-13,-1.08749977885205E-09,-2.04973513823206E-08,2.04973513823206E-08
4,2,-7.7762112727766,-7.77621128588287,1.31062698471851E-08,47,-1.68543129648088E-09,-1.59219017017951E-13,-1.70327456026932E-10,-4.20962827395361E-08,-3.41781598632692E-07,3.41781598632692E-07
5,2.25,-7.77745610357069,-7.77745616528414,6.17134530145336E-08,43,-7.93491498925985E-09,-2.74347555286422E-10,-2.58932619458759E-10,-1.51798189944669E-09,-7.76670537534802E-08,7.76670537534802E-08
6,2.5,-7.77815120025342,-7.77815121211417,1.18607479393518E-08,51,-1.52488009476665E-09,-8.78112531015976E-14,-1.48485517519308E-11,-1.58337013573055E-10,-1.32084944613546E-08,1.32084944613546E-08
7,2.75,-7.77896207412655,-7.77896208247344,8.34689295459157E-09,40,-1.07300856785946E-09,-2.26070425895106E-13,-8.55249540170346E-11,-1.62405093008788E-10,-1.0277289980711E-08,1.0277289980711E-08
8,3,-7.77987208414128,-7.77987215830034,7.41590628905442E-08,41,-9.5321699493893E-09,-7.01106572906759E-10,-2.23074927186388E-10,-5.71405393266176E-09,-1.25803685421792E-07,1.25803685421792E-07
9,3.25,-7.78070606045787,-7.78070611810262,5.76447503064514E-08,38,-7.40867857730885E-09,-1.06569226521226E-10,-6.99464926197306E-11,-2.64053114655743E-09,-7.95633639269847E-08,7.95633639269847E-08
