,r,E,fci_E,error,n_iters,rel_error,,,,,,tot_error
0,1,-7.61856072633433,-7.61856072656857,2.34234853735416E-10,30,-3.0745289320299E-11,-2.66155260200447E-09,-3.79414060537892E-11,-8.54671988794535E-14,-9.38789558685616E-09,-9.23233976424974E-08,9.23233976424974E-08
1,1.25,-7.68796430408225,-7.68796430508746,1.00521369006401E-09,30,-1.30751607357262E-10,-5.74790301381132E-09,-8.34073766304525E-14,-3.46034573179298E-10,-9.25094007549217E-10,-5.4967919271046E-08,5.4967919271046E-08
2,1.546,-7.71484819155767,-7.71484819386943,2.311756119866E-09,29,-2.99650240998358E-10,-1.6920988336574E-08,-5.16534842450505E-12,-2.49477714521091E-10,-2.27699489223828E-08,-3.10485844227016E-07,3.10485844227016E-07
3,1.75,-7.71859668112369,-7.71859668124809,1.24400933998459E-10,30,-1.61170403297129E-11,-1.54778340325825E-09,-1.38982163558251E-12,-5.78806658791295E-13,-1.08749977885205E-09,-2.04802840050754E-08,2.04802840050754E-08
4,2,-7.71659693253743,-7.71659693447876,1.94132621089693E-09,28,-2.51578024337545E-10,-1.68543129648088E-09,-1.59219017017951E-13,-1.70327456026932E-10,-4.20962827395361E-08,-3.41102743396139E-07,3.41102743396139E-07
5,2.25,-7.71216671829848,-7.71216671846653,1.68046909720943E-10,29,-2.17898440035304E-11,-7.93491498925985E-09,-2.74347555286422E-10,-2.58932619458759E-10,-1.51798189944669E-09,-7.7183109301509E-08,7.7183109301509E-08
6,2.5,-7.70773030020418,-7.70773031588282,1.567864060803E-08,25,-2.03414494246311E-09,-1.52488009476665E-09,-8.78112531015976E-14,-1.48485517519308E-11,-1.58337013573055E-10,-2.87675495735107E-08,2.87675495735107E-08
7,2.75,-7.70416498490721,-7.70416498781293,2.90571833261311E-09,27,-3.771620076031E-10,-1.07300856785946E-09,-2.26070425895106E-13,-8.55249540170346E-11,-1.62405093008788E-10,-1.30841890404834E-08,1.30841890404834E-08
8,3,-7.70160236323286,-7.70160236660751,3.3746507810406E-09,27,-4.38175151336175E-10,-9.5321699493893E-09,-7.01106572906759E-10,-2.23074927186388E-10,-5.71405393266176E-09,-1.27912683086596E-07,1.27912683086596E-07
9,3.25,-7.69988204169118,-7.69988204450245,2.81127032764061E-09,26,-3.65105635699213E-10,-7.40867857730885E-09,-1.06569226521226E-10,-6.99464926197306E-11,-2.64053114655743E-09,-8.15481500295166E-08,8.15481500295166E-08
