,r,E,fci_E,error,n_iters
0,1,-7.78445402300403,-7.78446028026705,6.25726302327934E-06,30
1,1.25,-7.86185542783314,-7.86186144064564,6.01281249767993E-06,28
2,1.546,-7.88275664234338,-7.88276184874591,5.20640253043325E-06,34
3,1.75,-7.8771845900674,-7.87718700226372,2.41219631913481E-06,24
4,2,-7.86106867477657,-7.8610877724111,1.90976345297855E-05,28
5,2.25,-7.84181687193816,-7.84181785937682,9.87438659727502E-07,36
6,2.5,-7.82371795175349,-7.82372388338938,5.93163589179824E-06,36
7,2.75,-7.8091611966666,-7.80916229761057,1.10094396710281E-06,38
8,3,-7.79883938274772,-7.79884315945517,3.77670744988734E-06,36
9,3.25,-7.79218349176188,-7.79218447197325,9.80211371626183E-07,43
10,3.5,-7.78811496017479,-7.78811512326022,1.63085426052589E-07,44
