,r,E,fci_E,error,n_iters
0,1,-7.78446020718735,-7.78446028026705,7.30796987369331E-08,40
1,1.25,-7.86186126582614,-7.86186144064564,1.74819497544831E-07,39
2,1.546,-7.88276166925583,-7.88276184874591,1.7949007613538E-07,33
3,1.75,-7.87718670745194,-7.87718700226367,2.94811730583433E-07,34
4,2,-7.86108744148854,-7.8610877724111,3.3092255868894E-07,35
5,2.25,-7.84181659924113,-7.84181785937682,1.26013568824135E-06,35
6,2.5,-7.82372375868873,-7.82372388338938,1.24700645365294E-07,36
7,2.75,-7.80916219928879,-7.80916229761059,9.83217969263706E-08,36
8,3,-7.79884311489216,-7.79884315945517,4.45630066181479E-08,38
9,3.25,-7.79218443647789,-7.79218447197325,3.54953604286834E-08,38
10,3.5,-7.78811507264755,-7.78811512326022,5.06126678345709E-08,39
