,r,E,fci_E,error,n_iters
0,1.0,-7.767362135986534,-7.784460280267055,0.0170981442805207,1.0
1,1.25,-7.844905315669805,-7.861861440645642,0.016956124975837206,1.0
2,1.546,-7.863133688684294,-7.8827618487459095,0.019628160061615496,1.0
3,1.75,-7.853839601781362,-7.8771870022637165,0.023347400482354175,1.0
4,2.0,-7.83090558453576,-7.86108777241112,0.030182187875360533,1.0
5,2.25,-7.801938956919059,-7.841817859376819,0.039878902457759935,1.0
6,2.5,-7.770873669073849,-7.823723883389378,0.052850214315529165,1.0
7,2.75,-7.740000739855919,-7.809162297610569,0.06916155775464983,1.0
8,3.0,-7.710829900058742,-7.79884315945518,0.08801325939643867,1.0
9,3.25,-7.684376422914839,-7.792184471973253,0.10780804905841457,1.0
10,3.5,-7.661201601365743,-7.788115123260141,0.12691352189439797,1.0
