,r,E,fci_E,error,n_iters
0,1,-7.78445390719619,-7.78446028003123,6.37283504101305E-06,124
1,1.25,-7.86185450353943,-7.86186144054762,6.93700818565901E-06,40
2,1.546,-7.88275243372461,-7.88276184874591,9.41502129503391E-06,44
3,1.75,-7.87717524005501,-7.87718700230454,1.17622495290348E-05,44
4,2,-7.86107182796259,-7.8610877724815,1.5944518912292E-05,43
5,2.25,-7.84179539823682,-7.84181785945854,2.24612217145648E-05,101
6,2.5,-7.82369184296523,-7.8237238834677,3.20405024689663E-05,87
7,2.75,-7.80911797038458,-7.80916229767517,4.432729058923E-05,47
8,3,-7.79878574398403,-7.7988431595024,5.74155183770131E-05,47
9,3.25,-7.79211529149198,-7.79218447200514,6.91805131625145E-05,55
10,3.5,-7.7880361036187,-7.78811512328081,7.90196621158756E-05,50
