,r,E,fci_E,error,n_iters
0,1,-7.784460269102559,-7.784460280267055,1.1164495994364643e-08,303
1,1.25,-7.861861440082645,-7.861861440645686,5.63041169243661e-10,328
2,1.5,-7.882362285752562,-7.882362286810944,1.0583827148025193e-09,330
3,1.75,-7.877186999091718,-7.877187002263722,3.1720039928018195e-09,167
4,2,-7.86108776999456,-7.861087772411145,2.416585154207951e-09,152
5,2.25,-7.841817858516118,-7.841817859376858,8.60740811958749e-10,247
6,2.5,-7.8237238831347575,-7.823723883389378,2.546203248243728e-10,269
7,2.75,-7.8091622974685295,-7.809162297610569,1.4203926923528343e-10,278
8,3,-7.79884315894469,-7.798843159455221,5.105311728925699e-10,302
9,3.25,-7.792184470746641,-7.792184471973294,1.2266534454852263e-09,307
10,3.5,-7.788115122056105,-7.788115123260425,1.2043201991218666e-09,297
