,r,E,fci_E,error,n_iters
0,1,-7.784460280162618,-7.784460280267071,1.0445333487041353e-10,804
1,1.25,-7.861861440200072,-7.861861440645642,4.455698032757027e-10,729
2,1.5,-7.88236228363852,-7.882362286810928,3.172408113982783e-09,281
3,1.75,-7.877187001279694,-7.877187002263722,9.840279702189036e-10,560
4,2,-7.86108777052731,-7.86108777241112,1.883810440972411e-09,201
5,2.25,-7.8418178586982235,-7.841817859376816,6.785922934682276e-10,327
6,2.5,-7.8237238812282115,-7.823723883389378,2.1611663569842676e-09,218
7,2.75,-7.809162296595137,-7.80916229761059,1.0154534990647335e-09,346
8,3,-7.798843158309914,-7.79884315945517,1.1452554460333886e-09,323
9,3.25,-7.7921844704635195,-7.792184471973294,1.5097745276193564e-09,281
10,3.5,-7.788115122712025,-7.788115123260141,5.481162190790201e-10,451
