,r,E,fci_E,error,n_iters
0,1.0,-7.784455090047517,-7.784460280267053,5.190219535933238e-06,43.0
1,1.25,-7.861854682759262,-7.861861440645642,6.757886380270861e-06,80.0
2,1.546,-7.882751849601315,-7.8827618487459095,9.999144594097231e-06,41.0
3,1.75,-7.8771739922123,-7.877187002263667,1.3010051366890707e-05,37.0
4,2.0,-7.8610690655807005,-7.86108777241112,1.870683041982346e-05,65.0
5,2.25,-7.841789383586415,-7.841817859376819,2.8475790403881263e-05,46.0
6,2.5,-7.823679461543843,-7.823723883389364,4.44218455202261e-05,51.0
7,2.75,-7.809096071306911,-7.809162297610569,6.622630365793469e-05,88.0
8,3.0,-7.798754434261488,-7.79884315945518,8.872519369251819e-05,64.0
9,3.25,-7.792078074576285,-7.792184471973301,0.00010639739701634454,116.0
10,3.5,-7.787996888643205,-7.788115123260141,0.00011823461693616366,87.0
