,Unnamed: 0,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters,bk_cnot_count,bk_u1_count
0,1,1,-15.567249581999564,0.0064278694006869,0.027997003720996,6,34.0,68,13,11,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.0483382297739062,128.0,104
1,2,2,-15.57518532677492,0.0079357447753576,0.0200612589456383,8,47.0,101,21,21,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.0794321786147356,168.0,144
2,3,3,-15.578650298109611,0.0034649713346901,0.0165962876109482,10,81.0,171,31,33,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042178891250654,272.0,232
3,4,4,-15.582195135619347,0.0035448375097359,0.0130514501012122,12,94.0,204,42,44,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.0405962588798521,304.0,272
4,5,5,-15.587634058203587,0.0054389225842399,0.0076125275169722,14,107.0,237,42,44,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.0577816630371716,352.0,312
5,6,6,-15.589389210918688,0.0017551527151002,0.0058573748018719,16,120.0,270,48,44,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.0275872177041626,392.0,352
6,7,7,-15.591896270201495,0.0025070592828093,0.0033503155190626,61,133.0,303,59,55,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.0576381943717451,432.0,392
7,8,8,-15.594261365359577,0.002365095158078,0.0009852203609845,21,146.0,336,70,66,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.056656427957137,480.0,432
8,9,9,-15.59434603904436,8.467368478370929e-05,0.0009005466762008,64,176.0,404,80,78,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0030827081488852,536.0,488
9,10,10,-15.594429759203225,8.37201588641534e-05,0.0008168265173367,89,206.0,472,90,90,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.0030762830735134,600.0,544
10,11,11,-15.594471739270022,4.198006679878574e-05,0.0007748464505379,67,219.0,505,90,90,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-8.638516360018045e-05,640.0,584
11,12,12,-15.594507391616004,3.5652345982128963e-05,0.0007391941045558,72,232.0,538,90,90,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0007595351146955,672.0,624
12,13,13,-15.594607563490763,0.0001001718747595,0.0006390222297962,27,266.0,608,103,101,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.0004639431938084,800.0,744
13,14,14,-15.594631101095128,2.353760436513141e-05,0.0006154846254311,28,279.0,641,103,101,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.0017285665953191,848.0,784
14,15,15,-15.594654408905052,2.3307809923878157e-05,0.0005921768155072,89,292.0,674,103,101,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0001197891364415,880.0,824
15,16,16,-15.59467232783385,1.7918928797655553e-05,0.0005742578867096,100,322.0,742,113,113,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0014994176385649,936.0,880
16,17,17,-15.594810079159393,0.0001377513255427,0.0004365065611668,185,356.0,764,118,121,spin_s_f_exc_11_3,"[[3], [11]]",-0.0060324353567052,956.0,898
17,18,18,-15.594856614147488,4.653498809581436e-05,0.000389971573071,97,390.0,786,118,121,spin_s_f_exc_13_5,"[[5], [13]]",0.0121983797831589,976.0,916
18,19,19,-15.59486251249129,5.898343800936345e-06,0.0003840732292701,142,420.0,854,128,133,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.001716490702205,1040.0,972
19,20,20,-15.594864917759493,2.4052682014996662e-06,0.0003816679610686,58,462.0,924,134,133,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.0002970919410792,1168.0,1092
20,21,21,-15.594867011177364,2.0934178728282404e-06,0.0003795745431958,144,504.0,994,140,133,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0005923110254558,1272.0,1196
21,22,22,-15.594868305376927,1.294199565293752e-06,0.0003782803436305,156,546.0,1016,146,133,spin_s_f_exc_11_1,"[[1], [11]]",0.0009470117424951,1292.0,1218
22,23,23,-15.595030129556813,0.0001618241798819,0.0002164561637485,46,592.0,1086,159,144,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",0.110367560854393,1396.0,1306
23,24,24,-15.595187619808858,0.0001574902520466,5.896591170184706e-05,44,638.0,1156,172,155,"spin_d_f_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",0.1019691284969373,1492.0,1394
24,25,25,-15.595212765341708,2.514553285060117e-05,3.382037885124589e-05,109,692.0,1226,185,166,"spin_d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.0423646455158666,1596.0,1482
25,26,26,-15.595214993474388,2.228132679249484e-06,3.159224617199641e-05,125,705.0,1259,185,166,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0023328169537599,1636.0,1522
26,27,27,-15.59521939484642,4.401372033058237e-06,2.719087413893817e-05,82,759.0,1329,191,166,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0027943154339484,1740.0,1626
27,28,28,-15.59522375575374,4.360907318812224e-06,2.2829966820125943e-05,84,813.0,1399,197,166,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.0022069763999964,1836.0,1730
28,29,29,-15.595235738879849,1.1983126109171849e-05,1.0846840710954098e-05,106,867.0,1469,223,188,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.0695388610851427,1940.0,1818
29,30,30,-15.595236542951408,8.040715595569736e-07,1.0042769151397124e-05,111,925.0,1539,233,198,"spin_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",0.0006552739141168,2044.0,1906
30,31,31,-15.595237829647498,1.2866960901192217e-06,8.756073061277903e-06,138,959.0,1609,246,209,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.0073123135498316,2172.0,2026
31,32,32,-15.595238162501726,3.3285422773587925e-07,8.423218833542023e-06,117,1017.0,1679,253,215,"spin_d_f_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.0010349908903597,2300.0,2130
32,33,33,-15.59523816590947,3.407743420780207e-09,8.419811090121243e-06,104,1059.0,1749,259,215,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",-1.9303614369367228e-06,2428.0,2266
33,34,34,-15.595238209411598,4.350212812198606e-08,8.376308961999257e-06,82,1072.0,1782,259,215,"spin_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.0004836441713704,2460.0,2306
34,35,35,-15.595238480068708,2.706571091692922e-07,8.105651852829965e-06,171,1134.0,1852,265,215,"spin_d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.0034036554503322,2564.0,2410
35,36,36,-15.595238832162735,3.52094030375838e-07,7.753557822454127e-06,54,1192.0,1922,274,221,"spin_d_f_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",0.0002273306336702,2668.0,2498
36,37,37,-15.59523887204937,3.9886632663410644e-08,7.713671189790716e-06,108,1205.0,1955,274,221,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0005465583101018,2708.0,2538
37,38,38,-15.595239153002748,2.8095337789579844e-07,7.432717811894918e-06,129,1263.0,2025,281,227,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.0042912227281385,2836.0,2658
38,39,39,-15.595239303487404,1.5048465762390606e-07,7.282233154271012e-06,89,1293.0,2093,291,239,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0008972850541719,2900.0,2714
39,40,40,-15.59523948042854,1.769411337448901e-07,7.105292020526122e-06,83,1351.0,2163,301,249,"spin_d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.00047016419745,3020.0,2818
40,41,41,-15.595239549291133,6.886259384941695e-08,7.036429426676705e-06,96,1393.0,2233,307,250,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.0001490969025676,3124.0,2922
