,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.5667565401879,0.005934827589146,0.028490045532665,34,13,33,11,11,"eff_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.077261952357145
2,2,-15.5709351956384,0.004178655450556,0.02431139008211,15,26,66,17,21,"eff_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.048019000350014
3,3,-15.5752161573817,0.004280961743282,0.020030428338828,24,47,101,21,21,"eff_d_f_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.048020787626888
4,4,-15.5792772183917,0.004061061010004,0.015969367328824,35,60,134,24,22,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.057941113048888
5,5,-15.5823175129835,0.003040294591806,0.012929072737018,36,73,167,32,32,"eff_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.0403723136471
6,6,-15.5849358046011,0.002618291617535,0.010310781119483,28,86,200,35,33,"eff_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.054153421646236
7,7,-15.5874529410093,0.002517136408239,0.007793644711244,48,103,235,48,44,"eff_d_f_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",-0.042309490941547
8,8,-15.5902011418641,0.002748200854809,0.005045443856435,54,120,270,48,44,"eff_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.042309643914063
9,9,-15.5926035327651,0.002402390900929,0.002643052955506,40,133,303,59,55,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.054462655123961
10,10,-15.5942608551997,0.001657322434651,0.000985730520854,66,146,336,70,66,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.027921599860021
11,11,-15.5943384068919,7.75516922324471E-05,0.000908178828622,72,163,347,70,70,eff_s_f_exc_11_3,"[3, 11]",-0.010365147406793
12,12,-15.5943909007909,5.24938989876489E-05,0.000855684929634,52,180,382,70,81,"eff_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006336191188763
13,13,-15.5944440547945,5.31540035364486E-05,0.000802530926098,56,197,417,83,81,"eff_d_f_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.006338689348934
14,14,-15.5944977550196,5.37002251093099E-05,0.000748830700989,60,214,428,88,85,eff_s_f_exc_10_2,"[2, 10]",-0.01031780602049
15,15,-15.5945410671583,4.33121387217739E-05,0.000705518562267,64,231,463,92,91,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",-0.003178212466964
16,16,-15.594584290854,4.32236957088605E-05,0.000662294866558,68,244,496,98,97,"eff_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.00308258293532
17,17,-15.5946266139887,4.2323134689326E-05,0.000619971731869,90,261,531,102,101,"eff_d_f_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",-0.003179206818161
18,18,-15.5946688823823,4.22683936189827E-05,0.00057770333825,76,274,564,108,109,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.003081710591165
19,19,-15.5947089544014,4.00720191304771E-05,0.000537631319119,340,287,597,108,109,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.001827016589459
20,20,-15.5947446320703,3.56776688335003E-05,0.000501953650286,357,300,630,108,109,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.001821381758948
21,21,-15.5947707120708,2.60800004916462E-05,0.000475873649794,132,317,641,108,109,eff_s_f_exc_12_4,"[4, 12]",0.004373269493534
22,22,-15.5947943373723,2.3625301521335E-05,0.000452248348273,92,330,674,108,109,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001484373111121
23,23,-15.5948176841504,2.33467781018959E-05,0.000428901570171,96,343,707,108,109,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.001483907945844
24,24,-15.5948359128133,1.82286629470951E-05,0.000410672907224,125,360,718,108,109,eff_s_f_exc_13_5,"[5, 13]",0.004288967681962
25,25,-15.5948459195137,1.00067003554472E-05,0.000400666206868,104,373,751,114,119,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0012339854795
26,26,-15.5948556403635,9.72084984596222E-06,0.000390945357022,108,390,786,118,121,"eff_d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",-0.001334415011751
27,27,-15.5948591331191,3.49275557987028E-06,0.000387452601442,112,403,819,118,121,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.002112659288407
28,28,-15.594862334693,3.20157388600251E-06,0.000384251027556,116,420,854,122,123,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.000733012601644
29,29,-15.5948655671745,3.23248147537925E-06,0.000381018546081,120,433,887,122,123,"eff_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",0.002111623670488
30,30,-15.5948686501539,3.08297943263369E-06,0.000377935566648,124,446,920,128,133,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.000832009941622
31,31,-15.5948696925597,1.04240582032844E-06,0.000376893160828,96,463,955,130,133,"eff_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.000421673097655
32,32,-15.5948710893198,1.3967601049103E-06,0.000375496400723,99,488,990,134,133,"eff_d_f_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",0.00040931940858
33,33,-15.5948720251133,9.3579343918293E-07,0.000374560607284,102,509,1025,136,133,"eff_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.000500540301544
34,34,-15.5948732071324,1.18201911369908E-06,0.00037337858817,105,530,1060,140,133,"eff_d_f_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",-0.000492983662143
35,35,-15.5948736299534,4.2282099244062E-07,0.000372955767178,108,551,1071,142,133,eff_s_f_exc_11_1,"[1, 11]",0.00032331519158
36,36,-15.5948744486924,8.18738977059752E-07,0.000372137028201,111,572,1082,146,133,eff_s_f_exc_10_0,"[0, 10]",0.000301199895039
37,37,-15.5948744551819,6.48956621773777E-09,0.000372130538635,152,593,1093,150,133,eff_s_f_exc_10_0,"[0, 10]",2.5459695005663E-06
