,n,E,dE,rank,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415856,0.005934828816982929,0,0.028490044304964712,30,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.08377451358199513
1,2,-15.570935203473725,0.004178662057869431,0,0.02431138224709528,6,26.0,66,12,20,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",0.0017932526331508594
2,3,-15.577527539399346,0.006592335925621029,0,0.017719046321474252,11,39.0,99,17,26,"d_q_exc_[3, 10]_[5, 12]","[[3, 10], [5, 12]]",0.5920451076619122
3,4,-15.58102132525836,0.0034937858590140536,0,0.014225260462460199,70,52.0,132,22,28,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.05942957287327688
4,5,-15.583607927397807,0.0025866021394467253,0,0.011638658323013473,15,65.0,165,33,33,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05845729954837771
5,6,-15.586167144220205,0.002559216822398014,0,0.00907944150061546,15,78.0,198,33,36,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04017186045443498
6,7,-15.5888993012764,0.002732157056195561,0,0.006347284444419898,17,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.0412902999725769
7,8,-15.591821022997694,0.0029217217212931246,0,0.003425562723126774,20,104.0,264,44,46,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04194540322760579
8,9,-15.594187044036405,0.0023660210387106417,0,0.001059541684416132,20,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05836204308285223
9,10,-15.594293878011941,0.00010683397553634677,0,0.0009527077088797853,19,130.0,330,60,61,"d_q_exc_[0, 1]_[2, 3]","[[0, 1], [2, 3]]",-0.0005811503219444098
10,11,-15.594361459347853,6.758133591233673e-05,0,0.0008851263729674486,52,133.0,337,63,65,s_q_exc_2_10,"[[2], [10]]",-0.032992393069362046
11,12,-15.594428333644696,6.687429684326673e-05,0,0.0008182520761241818,21,136.0,344,63,65,s_q_exc_3_11,"[[3], [11]]",0.031243321026292604
12,13,-15.594486592057152,5.8258412455103326e-05,0,0.0007599936636690785,21,149.0,377,63,73,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.004347222303682985
13,14,-15.594548050924885,6.145886773367693e-05,0,0.0006985347959354016,74,162.0,410,74,76,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.0040722230699690035
14,15,-15.594593203665628,4.5152740742793185e-05,0,0.0006533820551926084,24,175.0,443,80,86,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.002823268916794518
15,16,-15.59463790263733,4.469897170267245e-05,0,0.0006086830834899359,82,188.0,476,86,96,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.0027895388038134774
16,17,-15.594726224693531,8.83220562002407e-05,0,0.0005203610272896952,40,201.0,509,90,102,"d_q_exc_[0, 3]_[1, 2]","[[0, 3], [1, 2]]",-0.7205282127113847
17,18,-15.594784263003671,5.8038310140062777e-05,0,0.00046232271714963247,49,214.0,542,90,102,"d_q_exc_[3, 10]_[4, 5]","[[3, 10], [4, 5]]",0.2565452943152261
18,19,-15.594849405195434,6.514219176345648e-05,0,0.000397180525386176,101,227.0,575,101,113,"d_q_exc_[2, 11]_[12, 13]","[[2, 11], [12, 13]]",0.02701549184086062
19,20,-15.594897004604732,4.75994092976606e-05,0,0.0003495811160885154,59,240.0,608,112,124,"d_q_exc_[2, 11]_[4, 5]","[[2, 11], [4, 5]]",-0.21338607074482396
