,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.567249581999528,0.006427869400653208,0.027997003721138114,6,160.0,144,64,24,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04845128267853229
2,2,-15.575185326774895,0.007935744775366516,0.0200612589457716,8,208.0,216,80,40,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07856211782588338
3,3,-15.57865029810954,0.003464971334645739,0.01659628761112586,10,368.0,360,144,56,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04128400347345679
4,4,-15.582195135619243,0.0035448375097022478,0.013051450101423612,12,416.0,432,160,72,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04069221433599053
5,5,-15.587634058203468,0.005438922584225736,0.007612527517197876,14,464.0,504,160,80,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.05811875580180909
6,6,-15.58938921091858,0.0017551527151109525,0.005857374802086923,16,512.0,576,160,96,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.029819823979399626
7,7,-15.59189627020138,0.0025070592828004834,0.0033503155192864398,99,560.0,648,192,96,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.0542853471647286
8,8,-15.594261365359424,0.0023650951580442836,0.0009852203612421562,21,608.0,720,224,96,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05345306699282824
9,9,-15.594346039044204,8.467368478015658e-05,0.0009005466764619996,70,736.0,864,256,112,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.003073528349932733
10,10,-15.59442975920301,8.372015880553363e-05,0.000816826517656466,26,864.0,1008,288,128,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0030482458667476816
11,11,-15.59447173926977,4.198006675970589e-05,0.0007748464508967601,72,912.0,1080,288,128,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.00042842385832259593
12,12,-15.594507391615762,3.5652345992787104e-05,0.000739194104903973,116,960.0,1152,288,128,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0005284372348772693
13,13,-15.594607563490506,0.00010017187474353761,0.0006390222301604354,130,1120.0,1296,336,144,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",-0.0004010498912612427
14,14,-15.594631101094834,2.353760432782792e-05,0.0006154846258326074,126,1168.0,1368,336,144,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001798625210792779
15,15,-15.594654408904756,2.3307809922101796e-05,0.0005921768159105056,82,1216.0,1440,336,144,"spin_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0017986765600273339
16,16,-15.594672327833514,1.7918928758575703e-05,0.0005742578871519299,90,1344.0,1584,368,192,"spin_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",0.0022652403305702886
17,17,-15.594810079158997,0.00013775132548232705,0.0004365065616696029,71,1408.0,1604,380,192,spin_s_f_exc_11_3,"[[3], [11]]",-0.021376033759259703
18,18,-15.594856614147135,4.653498813844692e-05,0.00038997157353115597,87,1472.0,1624,380,198,spin_s_f_exc_13_5,"[[5], [13]]",0.014124547925589516
19,19,-15.594862512490892,5.898343756527424e-06,0.00038407322977462854,46,1600.0,1768,412,198,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.001830839383457227
20,20,-15.594864917759077,2.4052681855124547e-06,0.0003816679615891161,74,1824.0,1912,476,222,"spin_d_f_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",0.00048530986086676466
21,21,-15.594867011176934,2.093417856841029e-06,0.00037957454373227506,43,2048.0,2056,540,246,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.0002536157693983857
22,22,-15.594868305376409,1.2941994746995533e-06,0.0003782803442575755,26,2128.0,2076,556,246,spin_s_f_exc_11_1,"[[1], [11]]",0.0008274293623923003
23,23,-15.595030129396,0.00016182401959063952,0.00021645632466693598,191,2384.0,2220,604,246,"spin_d_f_exc_[3, 10]_[9, 8]","[[3, 10], [9, 8]]",0.09115675290401341
24,24,-15.59518761892214,0.00015748952614025313,5.896679852668285e-05,78,2640.0,2364,652,260,"spin_d_f_exc_[3, 10]_[7, 6]","[[3, 10], [7, 6]]",0.0914310508799975
25,25,-15.59521276521352,2.514629137984059e-05,3.382050714684226e-05,70,2960.0,2508,700,294,"spin_d_f_exc_[3, 10]_[12, 13]","[[3, 10], [12, 13]]",0.04821676301160455
26,26,-15.595214993126698,2.2279131783875528e-06,3.159259396845471e-05,106,3008.0,2580,700,300,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.0029264717114217713
27,27,-15.59521939369092,4.400564222351022e-06,2.7192029746103685e-05,134,3328.0,2724,764,324,"spin_d_f_exc_[1, 10]_[9, 8]","[[1, 10], [9, 8]]",-0.004380432277524528
28,28,-15.595223754614853,4.360923933077743e-06,2.2831105813025943e-05,92,3648.0,2868,828,348,"spin_d_f_exc_[1, 10]_[7, 6]","[[1, 10], [7, 6]]",-0.0043801580409058155
29,29,-15.595235737766307,1.1983151454231233e-05,1.0847954358794709e-05,50,3968.0,3012,892,348,"spin_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.08094748467796899
30,30,-15.595236541945507,8.041791996760139e-07,1.0043775159118695e-05,56,4320.0,3156,924,348,"spin_d_f_exc_[1, 2]_[4, 13]","[[1, 2], [4, 13]]",-0.0003771009904484116
31,31,-15.595237827833296,1.2858877891375187e-06,8.757887369981177e-06,106,4480.0,3300,972,366,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.007228763709757451
32,32,-15.595238162024186,3.341908900722501e-07,8.423696479908926e-06,61,4832.0,3444,1004,390,"spin_d_f_exc_[1, 4]_[3, 12]","[[1, 4], [3, 12]]",0.0010667321457469422
33,33,-15.59523816551112,3.4869334086806703e-09,8.420209546500246e-06,71,5056.0,3588,1068,414,"spin_d_f_exc_[1, 5]_[11, 13]","[[1, 5], [11, 13]]",2.655095577201595e-05
34,34,-15.595238208861435,4.33503153374204e-08,8.376859231162825e-06,65,5104.0,3660,1068,414,"spin_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0009717934163936513
35,35,-15.595238479364214,2.705027792870851e-07,8.10635645187574e-06,59,5488.0,3804,1132,462,"spin_d_f_exc_[1, 10]_[12, 13]","[[1, 10], [12, 13]]",0.003029068700290958
36,36,-15.595238830743025,3.5137881049251973e-07,7.75497764138322e-06,75,5840.0,3948,1164,486,"spin_d_f_exc_[1, 4]_[2, 13]","[[1, 4], [2, 13]]",-1.6444788284971545e-06
37,37,-15.595238871078173,4.0335148554504485e-08,7.714642492828716e-06,72,5888.0,4020,1164,486,"spin_d_f_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.0009715197228270889
38,38,-15.59523915174815,2.806699761492837e-07,7.433972516679432e-06,102,6240.0,4164,1196,510,"spin_d_f_exc_[1, 5]_[3, 13]","[[1, 5], [3, 13]]",-0.006339108770554306
39,39,-15.595239301507178,1.4975902828950893e-07,7.2842134883899234e-06,116,6368.0,4308,1228,510,"spin_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0010351492341736646
40,40,-15.595239478410516,1.7690333820041815e-07,7.107310150189505e-06,76,6720.0,4452,1260,534,"spin_d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.00259609784047939
41,41,-15.595239547263073,6.885255743327434e-08,7.038457592756231e-06,65,6944.0,4596,1324,558,"spin_d_f_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",-0.00018664791927500583
42,42,-15.595239879896383,3.326333093411904e-07,6.7058242834150406e-06,73,6992.0,4668,1356,558,"spin_d_f_exc_[2, 11]_[10, 3]","[[2, 11], [10, 3]]",0.005218520496269762
43,43,-15.595239890249552,1.035316898878591e-08,6.695471114426255e-06,122,7312.0,4812,1356,582,"spin_d_f_exc_[0, 1]_[5, 12]","[[0, 1], [5, 12]]",-0.00015368102610946314
