,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.56724958199958,0.006427869400827291,0.027997003720990676,6,34.0,68,13,11,"spin_d_f_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",0.04710824384544198
2,2,-15.575185326774887,0.007935744775307896,0.02006125894568278,8,47.0,101,21,21,"spin_d_f_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",0.07867144768184132
3,3,-15.578650298109595,0.0034649713347079114,0.01659628761097487,10,81.0,171,31,33,"spin_d_f_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",-0.04201568532500844
4,4,-15.582195135619346,0.0035448375097502094,0.01305145010122466,12,94.0,204,42,44,"spin_d_f_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",0.04081291267985297
5,5,-15.587634058203546,0.005438922584200867,0.007612527517023793,14,107.0,237,42,44,"spin_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.0577585457178108
6,6,-15.589389210918663,0.0017551527151162816,0.005857374801907511,16,120.0,270,48,44,"spin_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.02965713257292251
7,7,-15.59189627020145,0.002507059282788049,0.0033503155191194622,21,133.0,303,59,55,"spin_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.05431303793091727
8,8,-15.594261365359495,0.0023650951580442836,0.0009852203610751786,21,146.0,336,70,66,"spin_d_f_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.053484933799064015
9,9,-15.594346039044355,8.467368486009264e-05,0.000900546676215086,106,176.0,404,80,78,"spin_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0015421318751941773
10,10,-15.594429759203171,8.372015881619177e-05,0.0008168265173988942,45,206.0,472,90,90,"spin_d_f_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",0.001487264106153331
11,11,-15.594471739269993,4.198006682187838e-05,0.0007748464505770158,192,219.0,505,90,90,"spin_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0002745597458074527
12,12,-15.594507391615897,3.565234590396926e-05,0.0007391941046730466,61,232.0,538,90,90,"spin_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0006368594113036083
13,13,-15.59460756349067,0.00010017187477195932,0.0006390222299010873,64,266.0,608,103,101,"spin_d_f_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.001186948664181631
14,14,-15.594631101095057,2.3537604388224054e-05,0.0006154846255128632,82,279.0,641,103,101,"spin_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.001621761429266613
