,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.566756538422172,0.005934825823416645,0.028490047298500798,9,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07741458722235091
2,2,-15.570935195648829,0.004178657226656668,0.02431139007184413,16,26.0,66,12,20,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.048247320009120694
3,3,-15.575216168973842,0.004280973325013093,0.020030416746831037,25,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.04825612853417466
4,4,-15.578093009884862,0.0028768409110195847,0.017153575835811452,31,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04043623808855308
5,5,-15.582317517203435,0.0042245073185736,0.012929068517237852,37,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.057778776611751216
6,6,-15.584867289657145,0.0025497724537100197,0.010379296063527832,43,78.0,198,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04215949184956661
7,7,-15.587653182853861,0.0027858931967159606,0.007593402866811871,49,91.0,231,34,42,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.04214995941051183
8,8,-15.589389172325664,0.0017359894718023128,0.005857413395009559,55,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.02791997046262869
9,9,-15.591896213394683,0.0025070410690197775,0.003350372325989781,61,117.0,297,55,55,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05452202948998365
10,10,-15.594261311505766,0.002365098111082986,0.000985274214906795,67,130.0,330,66,66,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05463037286068849
11,11,-15.5943032793136,4.196780783338738e-05,0.0009433064070734076,205,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.002069129750881604
12,12,-15.594338905964488,3.562665088807648e-05,0.0009076797561853311,53,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0018857183469448249
13,13,-15.594359367949046,2.04619845582954e-05,0.0008872177716270357,57,169.0,429,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0015825342152005926
14,14,-15.594379623605018,2.0255655972079012e-05,0.0008669621156549567,61,182.0,462,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0015800660705433884
15,15,-15.594423714538111,4.4090933092988394e-05,0.0008228711825619683,129,195.0,495,72,76,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0031856322989183812
16,16,-15.594467285458178,4.357092006657126e-05,0.0007793002624953971,86,208.0,528,78,86,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.003184707025941448
17,17,-15.594509760044453,4.2474586274821036e-05,0.000736825676220576,91,221.0,561,78,86,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.0030498206830710728
18,18,-15.594551761234147,4.200118969421851e-05,0.0006948244865263575,96,234.0,594,78,86,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.0030489399483663053
19,19,-15.594599900850662,4.8139616515285866e-05,0.0006466848700110717,81,247.0,627,78,93,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.006388453594949648
20,20,-15.594651181111203,5.1280260541020084e-05,0.0005954046094700516,127,260.0,660,89,97,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.006387231105722458
21,21,-15.594660575241097,9.394129893536274e-06,0.0005860104795765153,89,273.0,693,89,103,"d_q_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.0012330323915228697
22,22,-15.5946696245491,9.049308003383771e-06,0.0005769611715731315,116,286.0,726,95,107,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0013279327311026823
23,23,-15.594746762804666,7.713825556621146e-05,0.0004998229160069201,169,289.0,733,98,111,s_q_exc_2_10,"[2, 10]",0.010901142084680548
24,24,-15.59482251600944,7.575320477393177e-05,0.0004240697112329883,151,292.0,740,98,111,s_q_exc_3_11,"[3, 11]",-0.011016865791503032
25,25,-15.594825680446304,3.164436863656306e-06,0.000420905274369332,105,305.0,773,104,121,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",0.0007389637387793762
26,26,-15.594828595079726,2.9146334217244885e-06,0.0004179906409476075,109,318.0,806,104,121,"d_q_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0008431987075921592
27,27,-15.594842109028944,1.3513949218335597e-05,0.0004044766917292719,141,321.0,813,104,121,s_q_exc_4_12,"[4, 12]",-0.003729238939605955
28,28,-15.594855656429559,1.3547400614655203e-05,0.0003909292911146167,146,324.0,820,104,121,s_q_exc_5_13,"[5, 13]",0.0036133745570380714
29,29,-15.594857011045107,1.354615548621041e-06,0.0003895746755659957,91,337.0,853,104,121,"d_q_exc_[0, 5]_[10, 13]","[[0, 5], [10, 13]]",-0.0005557558986392681
30,30,-15.594858358234594,1.3471894870775714e-06,0.0003882274860789181,94,350.0,886,110,121,"d_q_exc_[0, 5]_[11, 12]","[[0, 5], [11, 12]]",0.00042828858827565316
31,31,-15.594859412438487,1.054203892181249e-06,0.00038717328218673686,97,363.0,919,110,121,"d_q_exc_[1, 4]_[11, 12]","[[1, 4], [11, 12]]",-0.0005069591694411168
32,32,-15.594860532294762,1.119856275266784e-06,0.00038605342591147007,100,376.0,952,110,121,"d_q_exc_[1, 4]_[10, 13]","[[1, 4], [10, 13]]",0.00038790079735633883
33,33,-15.594861204090117,6.717953553447842e-07,0.0003853816305561253,103,379.0,959,110,121,s_q_exc_1_11,"[1, 11]",0.00037400520842635154
34,34,-15.594861980433796,7.763436791208278e-07,0.00038460528687700446,106,382.0,966,113,121,s_q_exc_0_10,"[0, 10]",-0.0004259575338167602
35,35,-15.59486292849303,9.480592328969806e-07,0.0003836572276441075,109,395.0,999,113,121,"d_q_exc_[4, 5]_[8, 9]","[[4, 5], [8, 9]]",-0.001613996467096777
36,36,-15.594863729771843,8.012788139666327e-07,0.00038285594883014085,112,408.0,1032,124,125,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",3.067729750288299e-05
37,37,-15.594865021355414,1.2915835707616452e-06,0.0003815643652593792,115,421.0,1065,124,125,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.001193824930767448
38,38,-15.594866157788525,1.1364331111707315e-06,0.00038042793214820847,118,434.0,1098,135,136,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",6.925687591943658e-05
39,39,-15.59486675298535,5.951968251594053e-07,0.00037983273532304906,121,447.0,1131,135,136,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.0006096182487582302
40,40,-15.594867408910577,6.559252270221805e-07,0.0003791768100960269,124,460.0,1164,146,147,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",4.217757819563095e-05
41,41,-15.594867582455807,1.7354522974244446e-07,0.00037900326486628444,127,473.0,1197,157,158,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",1.5823102316009568e-06
42,42,-15.594867836077748,2.536219412263563e-07,0.0003787496429250581,130,486.0,1230,168,169,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",2.129638140404619e-05
43,43,-15.59486786026478,2.4187031044675678e-08,0.0003787254558940134,177,499.0,1263,168,169,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.00022789172043261027
44,44,-15.594868343493559,4.832287796574519e-07,0.00037824222711435596,136,512.0,1296,179,180,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",3.2581864840657807e-06
45,45,-15.594868407997426,6.450386713652279e-08,0.00037817772324721943,139,525.0,1329,190,191,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",2.27473526075054e-05
46,46,-15.59486850161803,9.362060460205157e-08,0.0003780841026426174,142,538.0,1362,201,202,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",9.413123729767166e-06
