,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.56675654018787,0.005934827589113567,0.028490045532590713,34,13.0,33,11,11,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.7281932498154958
2,2,-15.570935195638375,0.004178655450505886,0.024311390082084827,15,34.0,68,15,20,"eff_d_f_exc_[0, 3]_[8, 11]","[[0, 3], [8, 11]]",0.03385276412775226
3,3,-15.575216177159602,0.004280981521226579,0.02003040856085825,80,47.0,101,21,21,"eff_d_f_exc_[1, 2]_[9, 10]","[[1, 2], [9, 10]]",0.3443524715125994
4,4,-15.578093022158692,0.0028768449990899114,0.017153563561768337,35,60.0,134,32,32,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.06091382318043399
5,5,-15.582317519251783,0.004224497093090918,0.01292906646867742,48,73.0,167,32,32,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0006324581643113314
6,6,-15.584867311439316,0.002549792187533484,0.010379274281143935,49,90.0,202,38,42,"eff_d_f_exc_[1, 2]_[8, 11]","[[1, 2], [8, 11]]",-0.06024869648522969
7,7,-15.587653203285537,0.0027858918462211335,0.007593382434922802,64,107.0,237,42,44,"eff_d_f_exc_[0, 3]_[9, 10]","[[0, 3], [9, 10]]",-0.060479066310244536
8,8,-15.589389176669735,0.001735973384198175,0.005857409050724627,81,120.0,270,48,44,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.22286205933007275
9,9,-15.591896236648688,0.0025070599789529524,0.0033503490717716744,100,133.0,303,59,55,"eff_d_f_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",0.07916412811839639
10,10,-15.594261298604852,0.0023650619561639274,0.000985287115607747,66,146.0,336,70,66,"eff_d_f_exc_[0, 1]_[4, 5]","[[0, 1], [4, 5]]",0.10795504245438914
11,11,-15.594309574510003,4.827590515077418e-05,0.0009370112104569728,132,163.0,371,70,73,"eff_d_f_exc_[1, 3]_[9, 11]","[[1, 3], [9, 11]]",0.25628969984944194
12,12,-15.594361467127971,5.1892617968007926e-05,0.0008851185924889649,130,180.0,406,83,77,"eff_d_f_exc_[0, 2]_[8, 10]","[[0, 2], [8, 10]]",0.11406812718513484
