,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
1,1,-15.56675654141584,0.005934828817087734,0.028490044304833262,134,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07840686735659251
2,2,-15.570935203473715,0.00417866205787476,0.0243113822469585,304,26.0,66,12,20,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.048368865147599846
3,3,-15.57521618204818,0.0042809785744655215,0.02003040367249298,231,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.04838262574052159
4,4,-15.579277222736449,0.0040610406882688466,0.015969362984224134,145,52.0,132,22,22,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.05701965086126177
5,5,-15.58231753577307,0.0030403130366210007,0.012929049947603133,965,65.0,165,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04046693297815814
6,6,-15.584936284782293,0.002618749009222654,0.010310300938380479,1129,78.0,198,33,33,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05448486897353475
7,7,-15.587453002166727,0.002516717384434486,0.007793583553945993,181,91.0,231,44,44,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.042435547975503675
8,8,-15.590201216701768,0.002748214535040816,0.005045369018905177,1313,104.0,264,44,44,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04211398599697225
9,9,-15.592604130798307,0.0024029140965389217,0.0026424549223662552,298,117.0,297,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",1.3093862515107728
10,10,-15.59426092572432,0.0016567949260135606,0.0009856599963526946,385,130.0,330,66,66,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.10628260223540706
11,11,-15.59433079482192,6.986909759909565e-05,0.000915790898753599,2593,133.0,337,66,66,s_q_exc_3_11,"[3, 11]",-0.05989625797880401
12,12,-15.594400011507753,6.921668583359519e-05,0.0008465742129200038,855,136.0,344,69,70,s_q_exc_2_10,"[2, 10]",0.061160796337219915
13,13,-15.594453404299555,5.339279180205381e-05,0.00079318142111795,984,149.0,377,69,77,"d_q_exc_[3, 5]_[11, 13]","[[3, 5], [11, 13]]",0.026621091322169377
14,14,-15.594510864797906,5.746049835053668e-05,0.0007357209227674133,593,162.0,410,80,81,"d_q_exc_[2, 4]_[10, 12]","[[2, 4], [10, 12]]",0.026256477877250082
15,15,-15.594554196630023,4.333183211713276e-05,0.0006923890906502805,2596,175.0,443,86,91,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.011577091623582695
16,16,-15.594597075761557,4.287913153433465e-05,0.0006495099591159459,1037,188.0,476,92,101,"d_q_exc_[1, 2]_[6, 7]","[[1, 2], [6, 7]]",-0.01067596984735116
17,17,-15.594638981387035,4.190562547812249e-05,0.0006076043336378234,1437,201.0,509,92,101,"d_q_exc_[0, 3]_[6, 7]","[[0, 3], [6, 7]]",0.01185244028551533
18,18,-15.594680451493106,4.147010607091772e-05,0.0005661342275669057,761,214.0,542,92,101,"d_q_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.010903118204355062
19,19,-15.594720444891493,3.999339838678395e-05,0.0005261408291801217,631,227.0,575,92,101,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.002181986720375414
20,20,-15.594756217172003,3.577228051021564e-05,0.0004903685486699061,1453,240.0,608,92,101,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.0019191113093790485
21,21,-15.594779626379976,2.3409207972946433e-05,0.00046695934069695966,3715,253.0,641,92,101,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.0017417251213067064
22,22,-15.594802801723732,2.317534375606556e-05,0.0004437839969408941,1637,266.0,674,92,101,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.005322863103887735
23,23,-15.594933399936542,0.00013059821280947403,0.00031318578413142006,3908,279.0,707,103,112,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-1.3675740612651726
24,24,-15.594947031621297,1.3631684755210927e-05,0.00029955409937620914,5062,282.0,714,103,112,s_q_exc_5_13,"[5, 13]",0.00370816338001087
