,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.192544301979286,0.16833429627805252,0.14425993409762228,7,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.6903412126830748
1,2,-15.26583555499482,0.07329125301553496,0.07096868108208731,10,63.0,103,21,21,"eff_d_f_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.04115794095074533
2,2,-15.26583555499482,0.07329125301553496,0.07096868108208731,10,63.0,103,21,21,"eff_d_f_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",0.04116895678137261
3,3,-15.278207406203041,0.012371851208220264,0.05859682987386705,8,76.0,136,24,22,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.23149118565561294
4,4,-15.28386628904965,0.005658882846608648,0.0529379470272584,9,89.0,169,35,33,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.25700209687488007
5,5,-15.288984749873425,0.005118460823775095,0.04781948620348331,45,102.0,202,46,44,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.2508808523308534
6,6,-15.297649515184597,0.008664765311172218,0.03915472089231109,11,120.0,224,51,52,eff_s_f_exc_7_3,"[[3], [7]]",-0.3977032483176882
7,6,-15.297649515184597,0.008664765311172218,0.03915472089231109,11,120.0,224,51,52,eff_s_f_exc_6_2,"[[2], [6]]",-0.3978797672209014
8,7,-15.333373965027793,0.03572444984319567,0.0034302710491154187,18,154.0,246,51,52,eff_s_f_exc_13_5,"[[5], [13]]",0.37307501666305853
9,7,-15.333373965027793,0.03572444984319567,0.0034302710491154187,18,154.0,246,51,52,eff_s_f_exc_12_4,"[[4], [12]]",0.3708772476908735
10,8,-15.333462747169321,8.878214152829855e-05,0.00334148890758712,16,184.0,314,61,64,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0019569247997349745
11,8,-15.333462747169321,8.878214152829855e-05,0.00334148890758712,16,184.0,314,61,64,"eff_d_f_exc_[0, 3]_[8, 9]","[[0, 3], [8, 9]]",0.001888511284744563
12,9,-15.333549829041234,8.708187191253103e-05,0.003254407035674589,62,214.0,382,71,76,"eff_d_f_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0012611743270032783
13,9,-15.333549829041234,8.708187191253103e-05,0.003254407035674589,62,214.0,382,71,76,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",0.001206797330897634
14,10,-15.334646493132045,0.0010966640908112169,0.0021577429448633723,44,227.0,415,82,87,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",-0.06376397113466886
15,11,-15.334720693441955,7.420030991056592e-05,0.0020835426349528063,27,257.0,483,92,99,"eff_d_f_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.0017385927092500428
16,11,-15.334720693441955,7.420030991056592e-05,0.0020835426349528063,27,257.0,483,92,99,"eff_d_f_exc_[0, 3]_[12, 13]","[[0, 3], [12, 13]]",0.001752382857236938
17,12,-15.334730408925136,9.71548318062787e-06,0.0020738271517721785,28,270.0,516,92,99,"eff_d_f_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",0.00037822366223744784
18,13,-15.334739456061659,9.047136522610799e-06,0.0020647800152495677,26,283.0,549,92,99,"eff_d_f_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",0.0004346827178448575
19,14,-15.334747490076108,8.034014449265214e-06,0.0020567460008003025,33,296.0,582,92,99,"eff_d_f_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",-0.000487170638045658
20,15,-15.3351956059804,0.000448115904292834,0.0016086300965074685,78,309.0,615,103,110,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.08808234457813888
21,16,-15.335598107294981,0.0004025013145803058,0.0012061287819271627,35,322.0,648,114,121,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.0712419712037314
22,17,-15.335705763015504,0.00010765572052306993,0.0010984730614040927,62,335.0,681,114,121,"eff_d_f_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",0.04892667103253744
23,18,-15.33579917167517,9.340865966578349e-05,0.0010050644017383092,87,348.0,714,114,121,"eff_d_f_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",0.07331800391119958
24,19,-15.336153281892337,0.0003541102171666921,0.0006509541845716171,77,394.0,784,114,121,"eff_d_f_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",0.12335873571243908
25,19,-15.336153281892337,0.0003541102171666921,0.0006509541845716171,77,394.0,784,114,121,"eff_d_f_exc_[4, 13]_[6, 7]","[[4, 13], [6, 7]]",-0.12063630496857185
26,20,-15.336306422148102,0.0001531402557652939,0.0004978139288063232,74,407.0,817,125,132,"eff_d_f_exc_[2, 3]_[4, 5]","[[2, 3], [4, 5]]",0.032047906879096165
27,21,-15.336324943146227,1.8520998125381993e-05,0.00047929293068094125,38,453.0,887,131,132,"eff_d_f_exc_[1, 6]_[10, 11]","[[1, 6], [10, 11]]",0.001851038058271722
28,21,-15.336324943146227,1.8520998125381993e-05,0.00047929293068094125,38,453.0,887,131,132,"eff_d_f_exc_[0, 7]_[10, 11]","[[0, 7], [10, 11]]",-0.0018461720914910538
29,22,-15.336342189255394,1.724610916653546e-05,0.0004620468215144058,69,499.0,957,137,132,"eff_d_f_exc_[1, 6]_[8, 9]","[[1, 6], [8, 9]]",0.0018728443969969878
30,22,-15.336342189255394,1.724610916653546e-05,0.0004620468215144058,69,499.0,957,137,132,"eff_d_f_exc_[0, 7]_[8, 9]","[[0, 7], [8, 9]]",-0.0018677286051444883
31,23,-15.336355338167326,1.3148911932603369e-05,0.0004488979095818024,92,545.0,1027,143,132,"eff_d_f_exc_[1, 6]_[12, 13]","[[1, 6], [12, 13]]",0.0018889521479097816
32,23,-15.336355338167326,1.3148911932603369e-05,0.0004488979095818024,92,545.0,1027,143,132,"eff_d_f_exc_[0, 7]_[12, 13]","[[0, 7], [12, 13]]",-0.0018717598594317423
33,24,-15.336407830910492,5.24927431655442e-05,0.0003964051664162582,89,558.0,1060,143,132,"eff_d_f_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",-0.061143208263662
34,25,-15.336413176753016,5.345842524207001e-06,0.0003910593238920512,46,616.0,1130,153,142,"eff_d_f_exc_[1, 2]_[5, 12]","[[1, 2], [5, 12]]",0.0013309750304145585
35,25,-15.336413176753016,5.345842524207001e-06,0.0003910593238920512,46,616.0,1130,153,142,"eff_d_f_exc_[0, 3]_[4, 13]","[[0, 3], [4, 13]]",0.0012173770805290925
36,26,-15.336519743339858,0.00010656658684204956,0.00028449273705000167,85,670.0,1200,179,164,"eff_d_f_exc_[2, 3]_[4, 13]","[[2, 3], [4, 13]]",-0.03669865698135794
37,26,-15.336519743339858,0.00010656658684204956,0.00028449273705000167,85,670.0,1200,179,164,"eff_d_f_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.036331098550264666
38,27,-15.336745768366903,0.00022602502704494043,5.8467710005061235e-05,88,720.0,1270,192,175,"eff_d_f_exc_[2, 6]_[4, 12]","[[2, 6], [4, 12]]",0.04712794442882671
39,27,-15.336745768366903,0.00022602502704494043,5.8467710005061235e-05,88,720.0,1270,192,175,"eff_d_f_exc_[3, 7]_[5, 13]","[[3, 7], [5, 13]]",0.047127884208535975
40,28,-15.336748880527818,3.1121609147533036e-06,5.535554909030793e-05,85,778.0,1340,198,175,"eff_d_f_exc_[0, 7]_[5, 12]","[[0, 7], [5, 12]]",-0.0011162402046527107
41,28,-15.336748880527818,3.1121609147533036e-06,5.535554909030793e-05,85,778.0,1340,198,175,"eff_d_f_exc_[1, 6]_[4, 13]","[[1, 6], [4, 13]]",-0.0011966164504461079
42,29,-15.336751770936349,2.8904085311864947e-06,5.246514055912144e-05,99,836.0,1410,204,175,"eff_d_f_exc_[1, 6]_[5, 12]","[[1, 6], [5, 12]]",-0.0016218559984556423
43,29,-15.336751770936349,2.8904085311864947e-06,5.246514055912144e-05,99,836.0,1410,204,175,"eff_d_f_exc_[0, 7]_[4, 13]","[[0, 7], [4, 13]]",-0.0015974256484614117
44,30,-15.336754054954469,2.2840181195249443e-06,5.018112243959649e-05,109,894.0,1480,214,185,"eff_d_f_exc_[0, 3]_[5, 12]","[[0, 3], [5, 12]]",0.0013969384339149826
