,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.192544301979286,0.16833429627805252,0.14425993409772175,6,13.0,33,11,11,"eff_d_f_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",0.7428706300327685
1,2,-15.227996853964505,0.03545255198521957,0.10880738211250218,8,34.0,68,17,21,"eff_d_f_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",0.05254780985582127
2,3,-15.265835554994819,0.037838701030313615,0.07096868108218857,8,63.0,103,21,21,"eff_d_f_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",0.15027252156488305
3,4,-15.278207406203041,0.01237185120822204,0.05859682987396653,7,76.0,136,24,22,"eff_d_f_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.20522749800344495
4,5,-15.283866289049651,0.005658882846610425,0.0529379470273561,8,89.0,169,35,33,"eff_d_f_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",0.25087041356191603
5,6,-15.288984749873425,0.005118460823773319,0.047819486203582784,71,102.0,202,46,44,"eff_d_f_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",0.2520474219450389
6,7,-15.293610274760798,0.0046255248873734445,0.04319396131620934,41,111.0,213,51,52,eff_s_f_exc_6_2,"[[2], [6]]",-0.39064138545089416
7,8,-15.310309064447946,0.016698789687147553,0.026495171629061787,15,128.0,224,51,52,eff_s_f_exc_13_5,"[[5], [13]]",0.31238415555813365
8,9,-15.314636593590631,0.004327529142685194,0.022167642486376593,15,137.0,235,51,52,eff_s_f_exc_7_3,"[[3], [7]]",-0.3782629628821287
9,10,-15.333373965027796,0.01873737143716525,0.003430271049211342,52,154.0,246,51,52,eff_s_f_exc_12_4,"[[4], [12]]",0.3772964855091738
10,11,-15.333418723573715,4.4758545918455184e-05,0.0033855125032928868,73,167.0,279,57,62,"eff_d_f_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",0.0012335696302992038
11,12,-15.333463378024646,4.4654450931602696e-05,0.003340858052361284,21,184.0,314,61,64,"eff_d_f_exc_[0, 3]_[10, 11]","[[0, 3], [10, 11]]",-0.0008568737277805149
