,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.192544301979282,0.1683342962780383,0.14425993409752635,7,13.0,33,11,11,"d_q_exc_[4, 5]_[6, 7]","[[4, 5], [6, 7]]",-0.8350653599464134
1,2,-15.26583555499482,0.07329125301553852,0.07096868108198784,72,39.0,99,17,21,"d_q_exc_[3, 4]_[7, 12]","[[3, 4], [7, 12]]",-0.26473591873428604
2,2,-15.26583555499482,0.07329125301553852,0.07096868108198784,72,39.0,99,17,21,"d_q_exc_[2, 5]_[6, 13]","[[2, 5], [6, 13]]",-0.2148634023439425
3,3,-15.278207406203036,0.012371851208214935,0.058596829873772904,8,52.0,132,22,22,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.11454950369857647
4,4,-15.283866289049644,0.005658882846608648,0.052937947027164256,9,65.0,165,33,33,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.024840898904262897
5,5,-15.288984749873418,0.005118460823773319,0.04781948620339094,10,78.0,198,44,44,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.1776826791990299
6,6,-15.303141913334576,0.014157163461158362,0.033662322742232575,9,84.0,212,47,48,s_q_exc_3_7,"[[3], [7]]",0.2502782284982578
7,6,-15.303141913334576,0.014157163461158362,0.033662322742232575,9,84.0,212,47,48,s_q_exc_2_6,"[[2], [6]]",-0.2559272206848018
8,7,-15.305304207798713,0.002162294464136849,0.031500028278095726,15,110.0,278,58,59,"d_q_exc_[2, 7]_[8, 9]","[[2, 7], [8, 9]]",0.06555461145602816
9,7,-15.305304207798713,0.002162294464136849,0.031500028278095726,15,110.0,278,58,59,"d_q_exc_[3, 6]_[9, 8]","[[3, 6], [9, 8]]",-0.06198586481060375
10,8,-15.30754981211896,0.002245604320247452,0.029254423957848275,16,136.0,344,69,70,"d_q_exc_[3, 6]_[10, 11]","[[3, 6], [10, 11]]",-0.038783176389335414
11,8,-15.30754981211896,0.002245604320247452,0.029254423957848275,16,136.0,344,69,70,"d_q_exc_[2, 7]_[11, 10]","[[2, 7], [11, 10]]",0.03789007191939545
12,9,-15.308182674842744,0.0006328627237834894,0.028621561234064785,17,149.0,377,69,70,"d_q_exc_[6, 7]_[8, 9]","[[6, 7], [8, 9]]",-0.1684518917896404
13,10,-15.309099806436642,0.0009171315938978353,0.02770442964016695,16,162.0,410,80,81,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",0.039623967580163975
14,11,-15.310230999197273,0.0011311927606314498,0.0265732368795355,63,175.0,443,80,81,"d_q_exc_[6, 7]_[10, 11]","[[6, 7], [10, 11]]",-0.4920527075503993
15,12,-15.31323189990717,0.003000900709896115,0.023572336169639385,22,201.0,509,80,81,"d_q_exc_[4, 13]_[7, 6]","[[4, 13], [7, 6]]",-0.10730462573851975
16,12,-15.31323189990717,0.003000900709896115,0.023572336169639385,22,201.0,509,80,81,"d_q_exc_[5, 12]_[6, 7]","[[5, 12], [6, 7]]",-0.035780449170718556
17,13,-15.316720306241399,0.0034884063342293103,0.020083929835410075,24,227.0,575,91,92,"d_q_exc_[2, 7]_[5, 12]","[[2, 7], [5, 12]]",-0.2236241463528195
18,13,-15.316720306241399,0.0034884063342293103,0.020083929835410075,24,227.0,575,91,92,"d_q_exc_[3, 6]_[4, 13]","[[3, 6], [4, 13]]",-0.16008125323476
19,14,-15.320085536526282,0.003365230284883225,0.01671869955052685,26,240.0,608,91,96,"d_q_exc_[6, 7]_[12, 13]","[[6, 7], [12, 13]]",-0.14596690922246555
20,15,-15.32428226979714,0.004196733270857678,0.012521966279669172,28,266.0,674,108,113,"d_q_exc_[2, 3]_[5, 12]","[[2, 3], [5, 12]]",0.05622590101571499
21,15,-15.32428226979714,0.004196733270857678,0.012521966279669172,28,266.0,674,108,113,"d_q_exc_[3, 2]_[4, 13]","[[3, 2], [4, 13]]",-0.034781546944928125
22,16,-15.326986919603822,0.002704649806682724,0.009817316472986448,26,292.0,740,119,124,"d_q_exc_[2, 7]_[12, 13]","[[2, 7], [12, 13]]",-0.03899059709048506
23,16,-15.326986919603822,0.002704649806682724,0.009817316472986448,26,292.0,740,119,124,"d_q_exc_[3, 6]_[13, 12]","[[3, 6], [13, 12]]",0.03028272750909095
24,17,-15.329692571000448,0.002705651396626152,0.007111665076360296,31,305.0,773,130,135,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.18417334007813635
25,18,-15.329779746572836,8.717557238746565e-05,0.0070244895039728306,101,331.0,839,136,145,"d_q_exc_[1, 2]_[8, 9]","[[1, 2], [8, 9]]",-0.0023358171370774583
26,18,-15.329779746572836,8.717557238746565e-05,0.0070244895039728306,101,331.0,839,136,145,"d_q_exc_[0, 3]_[9, 8]","[[0, 3], [9, 8]]",-0.0003085857308822149
27,19,-15.329861177563211,8.14309903756083e-05,0.006943058513597222,81,357.0,905,142,155,"d_q_exc_[1, 2]_[10, 11]","[[1, 2], [10, 11]]",-0.0015999530721111555
28,19,-15.329861177563211,8.14309903756083e-05,0.006943058513597222,81,357.0,905,142,155,"d_q_exc_[0, 3]_[11, 10]","[[0, 3], [11, 10]]",-0.00034485597992268534
29,20,-15.329930050850983,6.887328777160917e-05,0.006874185225825613,54,383.0,971,148,165,"d_q_exc_[1, 2]_[12, 13]","[[1, 2], [12, 13]]",-0.021964629550403895
