,n,E,dE,error,n_iters,cnot_count,u1_count,cnot_depth,u1_depth,element,element_qubits,var_parameters
0,1,-15.566756541415842,0.005934828817093063,0.028490044304671613,6,13.0,33,11,11,"d_q_exc_[4, 5]_[10, 11]","[[4, 5], [10, 11]]",-0.07950780146487652
1,2,-15.57521618204933,0.008459640633487808,0.020030403671183805,8,39.0,99,17,21,"d_q_exc_[3, 4]_[11, 12]","[[3, 4], [11, 12]]",-0.05396023362991658
2,2,-15.57521618204933,0.008459640633487808,0.020030403671183805,8,39.0,99,17,21,"d_q_exc_[2, 5]_[10, 13]","[[2, 5], [10, 13]]",-0.05164822573488143
3,3,-15.578093027055376,0.002876845006046125,0.01715355866513768,10,52.0,132,28,32,"d_q_exc_[4, 5]_[12, 13]","[[4, 5], [12, 13]]",-0.04584766094016928
4,4,-15.582317535773267,0.004224508717891595,0.012929049947246085,11,65.0,165,28,32,"d_q_exc_[2, 3]_[10, 11]","[[2, 3], [10, 11]]",-0.0586827757179536
5,5,-15.587653234867311,0.005335699094043633,0.007593350853202452,14,91.0,231,34,42,"d_q_exc_[3, 4]_[10, 13]","[[3, 4], [10, 13]]",0.04233630655453887
6,5,-15.587653234867311,0.005335699094043633,0.007593350853202452,14,91.0,231,34,42,"d_q_exc_[2, 5]_[11, 12]","[[2, 5], [11, 12]]",0.042314577426563305
7,6,-15.589389210918675,0.0017359760513642186,0.005857374801838233,18,104.0,264,44,44,"d_q_exc_[2, 3]_[12, 13]","[[2, 3], [12, 13]]",0.10547524666586698
8,7,-15.591896270201477,0.0025070592828022598,0.0033503155190359735,21,117.0,297,55,55,"d_q_exc_[2, 3]_[6, 7]","[[2, 3], [6, 7]]",-0.05837612864414531
9,8,-15.594261365359559,0.002365095158081587,0.0009852203609543864,20,130.0,330,66,66,"d_q_exc_[2, 3]_[8, 9]","[[2, 3], [8, 9]]",-0.05863962116712934
10,9,-15.594303340082405,4.197472284594994e-05,0.0009432456381084364,71,143.0,363,66,66,"d_q_exc_[0, 1]_[10, 11]","[[0, 1], [10, 11]]",-0.0003560160365525275
11,10,-15.594339012528208,3.567244580260365e-05,0.0009075731923058328,70,156.0,396,66,66,"d_q_exc_[0, 1]_[12, 13]","[[0, 1], [12, 13]]",0.0002223401403812605
12,11,-15.594359494161024,2.048163281642701e-05,0.0008870915594894058,116,169.0,429,66,66,"d_q_exc_[0, 1]_[6, 7]","[[0, 1], [6, 7]]",-0.0010705629469703122
13,12,-15.594379775284898,2.0281123873644447e-05,0.0008668104356157613,74,182.0,462,66,66,"d_q_exc_[0, 1]_[8, 9]","[[0, 1], [8, 9]]",-0.001205622056093722
